Y_visit_growth_yoy,Y_consume_growth_yoy,관광지ID,관광지명_표준,드라마ID,주분석드라마,분석시군구_key,넷플릭스,시청률_평균,인근관광지수,공영주차장수_1km,최근접IC거리_km,최근접공항거리_km,최근접철도지하철역거리_km,ic_출구통행량_before4w_mean,ic_출구통행량_during_mean,ic_출구통행량_after4w_mean,ic_출구통행량_growth_4w,네이버_관광지지수_before4w_mean,네이버_관광지지수_during_mean,네이버_관광지지수_after4w_mean,네이버_관광지지수_growth_4w,네이버_드라마지수_before4w_mean,네이버_드라마지수_during_mean,네이버_드라마지수_after4w_mean,네이버_드라마지수_growth_4w
0.0174841797583893,0.0638984050659462,A001,여의도한강공원,D001,신성한 이혼,서울특별시 영등포구,1,6.619083333333333,98,0,8.289,13.179,0.172,102788.8928571429,105915.9459459459,108613.0,0.056660860730853,0.2312807142857143,0.8048294594594595,0.5648014285714286,1.442060205131056,1.813024285714286,24.80625756756757,4.339746785714286,1.393650664201961
0.0996122909105295,0.0455265805190714,A002,충주호,D002,눈물의 여왕,충청북도 충주시,1,15.69375,107,0,16.265,54.039,52.93,1214.607142857143,1302.156862745098,1373.785714285714,0.1310535446499455,0.0138553571428571,0.0204694117647058,0.0206132142857142,0.4877432658847787,1.252293928571429,25.18408019607843,4.672162142857142,2.730883010977283
0.0542734363325915,0.0399712104792908,A003,청계천,D003,내 남편과 결혼해줘,서울특별시 중구,0,9.1260625,121,12,13.031,16.626,0.338,98867.92857142857,100106.431372549,103476.6428571429,0.0466148563270915,0.2079478571428572,0.1041403921568627,0.1036396428571429,-0.5016075458476885,1.813130357142857,36.24863411764706,1.224971071428572,-0.3243888578651956
0.4282386823142499,0.2546752459997173,A004,인천국제공항,D004,킹더랜드,인천광역시 중구,1,10.338888888888889,166,0,5.33,32.674,1.343,84751.75,83934.8431372549,83159.28571428571,-0.0187897510755151,1.7810125,2.066137647058823,2.493555357142857,0.4000774038042164,2.508661071428571,34.33309784313726,4.640422142857142,0.8497604940370155
0.0817101836326201,0.011814262098619,A005,송도해수욕장,D005,폭군의 셰프,부산광역시 서구,1,11.708333333333334,26,12,10.627,13.599,2.62,29173.67857142857,29216.13513513514,30539.64285714286,0.0468218048803777,0.2423414285714286,0.0880032432432432,0.0589107142857142,-0.7569102623807026,1.794830357142857,30.22074675675675,5.874353214285714,2.272929494928391
0.0426105580712964,0.0395079033470262,A006,경복궁,D006,혼례대첩,서울특별시 종로구,1,4.16875,276,2,14.154,16.61,0.519,107821.8214285714,103817.2280701754,97496.89285714286,-0.0957591741136419,5.803866428571429,4.245630526315789,2.932705714285714,-0.4946979310467051,4.986103571428572,24.80429403508772,5.278255000000001,0.0585931327711518
0.0584002337316459,0.2460751660089867,A007,황리단길,D007,찬란한 너의 계절에,경상북도 경주시,0,3.208333333333333,397,42,3.997,25.282,35.685,18083.35714285714,17169.44186046511,18516.57142857143,0.0239565188195934,1.598107857142857,1.542600465116279,1.716310357142857,0.0739640315712645,2.558155714285714,17.71451697674419,2.140376785714286,-0.1633125482699868
0.0828692581220305,0.004180431543493,A008,세종문화회관,D008,우리영화,서울특별시 종로구,0,3.641666666666667,276,4,13.489,16.393,0.127,105052.0714285714,102614.5945945946,102469.5714285714,-0.0245830469107497,1.602881428571429,1.730594864864865,2.020923571428571,0.2608066544446296,2.555245357142857,27.51641810810811,3.251098928571429,0.272323583128095
0.0422817411447631,-0.0132444530614931,A009,수원시장,D009,선재 업고 튀어,경기도 수원시 팔달구,1,4.1831875,76,2,5.658,37.365,0.139,39786.78571428572,39856.13725490196,40163.75,0.0094746101990071,,,,,,,,
0.0422817411447631,-0.0132444530614931,A010,행리단길,D009,선재 업고 튀어,경기도 수원시 팔달구,1,4.1831875,76,4,3.681,36.122,2.055,39786.78571428572,39856.13725490196,40163.75,0.0094746101990071,0.2213028571428572,0.2493558823529412,0.2273182142857143,0.0271815611443915,1.113733928571429,38.39388745098039,11.57788214285714,9.395554850078002
