관광지ID,관광지명_표준,드라마ID,주분석드라마,분석시군구_key,장르_원문,장르수,넷플릭스,인근관광지수,공영주차장수_1km,주차구획수합_1km,최근접공영주차장거리_m,공영주차장수_500m,주차구획수합_500m,공영주차장수_2km,주차구획수합_2km,주차장집계상태,인근_레저/액티비티수,인근_문화/액티비티수,인근_문화유적수,인근_아이와함께수,인근_자연명소수,인근_체험관광수,인근_캠핑수,인근_테마파크수,인근_피크닉수,인근관광지_수집그룹,최근접IC명_원본,최근접IC명_정규화,최근접IC거리_km,최근접공항명,최근접공항거리_km,최근접철도지하철역명,최근접철도지하철역거리_km,교통인프라_검토플래그,X_static_완성상태,택시분석지역_key,택시_원래방영연도,택시_대체여부,택시_기준연도,택시_대체사유,택시_영업대수합계_연도월평균,택시_영업횟수합계_연도월평균,택시_운행거리합계_km_연도월평균,택시_사용월수,관광지명_표준_dynamic,주분석드라마_dynamic,ic_입구통행량_before8w_mean,ic_출구통행량_before8w_mean,ic_총통행량_before8w_mean,네이버_관광지지수_before8w_mean,네이버_드라마지수_before8w_mean,네이버_연관검색지수_before8w_mean,ic_available_days_before8w,naver_available_days_before8w,ic_입구통행량_during_mean,ic_출구통행량_during_mean,ic_총통행량_during_mean,네이버_관광지지수_during_mean,네이버_드라마지수_during_mean,네이버_연관검색지수_during_mean,ic_available_days_during,naver_available_days_during,ic_입구통행량_after8w_mean,ic_출구통행량_after8w_mean,ic_총통행량_after8w_mean,네이버_관광지지수_after8w_mean,네이버_드라마지수_after8w_mean,네이버_연관검색지수_after8w_mean,ic_available_days_after8w,naver_available_days_after8w,ic_입구통행량_growth_8w,ic_출구통행량_growth_8w,ic_총통행량_growth_8w,네이버_관광지지수_growth_8w,네이버_드라마지수_growth_8w,네이버_연관검색지수_growth_8w,ic_통행량_growth_8w,naver_검색지수_growth_8w,네이버_관광지지수_log_growth_8w,네이버_드라마지수_log_growth_8w,네이버_연관검색지수_log_growth_8w,naver_검색지수_log_growth_8w,분석시군구_key_Y,방영시작일,종영일,visit_before8w_mean,visit_after8w_mean,Y_visit_growth_8w,consume_before8w_mean,consume_after8w_mean,Y_consume_growth_8w,visit_before_days,visit_after_days,consume_before_days,consume_after_days,시청률_평균,시청률_최대,시청률_최종화,시청률_상승률,시청률_1화,시청률_회차수
A001,여의도한강공원,D001,신성한 이혼,서울특별시 영등포구,"법정,휴먼,드라마",3,1,98,0,0,1773.0,0,0,1,143,지정집계CSV_반영,0,0,0,40,0,24,0,0,34,여의도한강공원,금천IC,금천IC,8.289,김포,13.179,여의나루,0.172,확정,부분완성,서울특별시,2023,0,2023,방영연도 실제값,948720.25,13871417.916666666,195679875.49166667,12,여의도한강공원,신성한 이혼,99542.30357142857,99936.76785714286,199479.0714285714,0.1708176785714286,1.293955535714286,0.0001042857142857,56,56,104349.5675675676,105915.9459459459,210265.5135135135,0.8048294594594595,24.80625756756757,0.0183908108108108,37,37,107328.8928571429,109202.0178571429,216530.9107142857,0.60778875,2.4262725,0.00334875,56,56,0.0782239209496178,0.0927111232298851,0.0854818461084532,2.558113862001988,0.8750818192996529,31.11130136986301,0.0854818461084532,31.11130136986301,0.3171574124610786,0.4011952999024621,0.0032388751462237,0.0032388751462237,서울특별시 영등포구,2023-03-04,2023-04-09,569287.3567857143,590007.3085714286,0.0363962971226033,8211940.339285715,8234890.553571428,0.0027947370947059,56,56,56,56,6.619083333333333,9.488,9.488,0.3047304730473046,7.272,12
A002,충주호,D002,눈물의 여왕,충청북도 충주시,"로맨틱 코미디, 휴먼, 가족, 오피스, 스릴러",5,1,107,0,0,,0,0,0,0,지정집계CSV_반영,0,0,27,30,20,0,0,0,30,충주호,괴산IC,괴산IC,16.265,원주,54.039,여주역,52.93,확정,부분완성,충청북도 충주시,2024,0,2024,방영연도 실제값,22857.5,469855.5833333333,3828227.8333333335,12,충주호,눈물의 여왕,1366.946428571429,1209.767857142857,2576.714285714286,0.0121408928571428,0.7809198214285714,0.0001614285714285,56,56,1498.274509803922,1302.156862745098,2800.43137254902,0.0204694117647058,25.18408019607843,0.0814372549019607,51,51,1623.0,1383.017857142857,3006.017857142857,0.0203230357142857,2.741754642857143,0.0239116071428571,56,56,0.187317927079387,0.1432092934004458,0.1666089150080391,0.6739325479121622,2.51092976208688,147.125,0.1666089150080391,147.125,0.0080514954718439,0.7424246728070203,0.0234687861986388,0.0234687861986388,충청북도 충주시,2024-03-09,2024-04-28,238531.6119642857,263621.1119642857,0.1051831235004464,1289474.982142857,1867444.464285714,0.4482207798885592,56,56,56,56,15.693750000000001,24.9,24.9,3.2203389830508473,5.9,16
A003,청계천,D003,내 남편과 결혼해줘,서울특별시 중구,"판타지 로맨스, 로맨틱 코미디, 회귀, 복수, 오피스",5,0,121,12,167,141.0,3,39,27,1142,지정집계CSV_반영,0,0,26,44,0,30,0,0,21,청계천,양재IC,양재IC,13.031,김포,16.626,광화문(세종문화회관),0.338,확정,부분완성,서울특별시,2024,0,2024,방영연도 실제값,1294792.25,19274176.33333333,276903548.23333335,12,청계천,내 남편과 결혼해줘,101412.8571428571,102493.8571428571,203906.7142857143,0.1576655357142857,1.380840357142857,0.0,56,56,99112.9411764706,100106.431372549,199219.3725490196,0.1041403921568627,36.24863411764706,0.0256717647058823,51,51,103601.2678571429,105517.625,209118.8928571429,0.1255364285714286,0.8516453571428572,0.0026592857142857,56,56,0.0215792235416754,0.0295019422766799,0.0255615838335037,-0.2037801539651636,-0.3832412612092067,,0.0255615838335037,,-0.02814576076122,-0.2513788905342609,0.0026557560702005,0.0026557560702005,서울특별시 중구,2024-01-01,2024-02-20,617771.0548214286,625237.7980357142,0.0120865863753424,21475791.82142857,20687680.32142857,-0.0366976690104446,56,56,56,56,9.1260625,11.951,11.951,1.293417770101708,5.211,16
A004,인천국제공항,D004,킹더랜드,인천광역시 중구,"로맨틱 코미디, 오피스, 휴먼, 가족",4,1,166,0,0,,0,0,0,0,지정집계CSV_반영,0,29,14,29,31,34,0,0,29,인천국제공항,공항신도시JCT,공항신도시JCT,5.33,김포,32.674,인천공항2터미널,1.343,공항원천범위검토|IC통행량키검토,부분완성,인천광역시,2023,0,2023,방영연도 실제값,248022.41666666663,3987169.3333333335,48445298.23333333,12,인천국제공항,킹더랜드,78010.67857142857,85181.26785714286,163191.9464285714,1.748920535714286,1.742206964285714,0.00336875,56,56,77019.94117647059,83934.8431372549,160954.7843137255,2.066137647058824,34.33309784313725,0.1706392156862745,51,51,77867.08928571429,84244.28571428571,162111.375,2.175899821428572,2.706986428571429,0.0835751785714285,56,56,-0.0018406362865155,-0.0109998614299631,-0.006621475215043,0.2441387570189981,0.5537685728866681,23.80895838855022,-0.006621475215043,23.80895838855022,0.14438269836615,0.3014562055263383,0.076902836044043,0.076902836044043,인천광역시 중구,2023-06-17,2023-08-06,341008.7189285714,392120.0739285714,0.149882839244078,5964919.410714285,6561798.625,0.1000649251377295,56,56,56,56,10.338888888888889,13.8,13.8,1.7058823529411768,5.1,18
A005,송도해수욕장,D005,폭군의 셰프,부산광역시 서구,"가상역사, 타임슬립, 로맨틱 코미디, 판타지, 요리",5,1,26,12,624,59.0,4,158,21,1229,지정집계CSV_반영,0,0,0,10,0,16,0,0,0,송도해수욕장,서부산ICIC,서부산IC,10.627,김해,13.599,자갈치,2.62,IC명정규화,부분완성,부산광역시,2025,1,2024,2025~2026 원천 미보유로 2024 대표값 대체,430795.6666666667,7021944.833333333,74755567.36666666,12,송도해수욕장,폭군의 셰프,29522.85714285714,28716.73214285714,58239.58928571428,0.197895,1.022390535714286,0.0008825,56,56,30029.27027027027,29216.13513513514,59245.40540540541,0.0880032432432432,30.22074675675676,0.0296735135135135,37,37,31196.875,30513.71428571429,61710.58928571428,0.0537180357142857,3.257212678571428,0.0081144642857142,56,56,0.0567024339494822,0.062576136237149,0.0595986345812265,-0.7285528400703115,2.185879137951722,8.194860380412788,0.0595986345812265,8.194860380412788,-0.128240953743195,0.744334400098693,0.0071996082153806,0.0071996082153806,부산광역시 서구,2025-08-23,2025-09-28,119822.1894642857,124868.3946428571,0.0421141125957766,454429.875,419780.0535714286,-0.0762489953561513,56,56,56,56,11.708333333333334,17.1,17.1,2.489795918367347,4.9,12
A006,경복궁,D006,혼례대첩,서울특별시 종로구,"로맨틱 코미디, 가상역사, 정치",3,1,276,2,56,877.0,0,0,9,174,지정집계CSV_반영,0,0,85,75,16,69,0,0,31,"경복궁, 세종문화회관",양재IC,양재IC,14.154,김포,16.61,경복궁(정부서울청사),0.519,확정,부분완성,서울특별시,2023,0,2023,방영연도 실제값,948720.25,13871417.916666666,195679875.49166667,12,경복궁,혼례대첩,107027.2678571429,108083.1785714286,215110.4464285714,5.754639821428571,3.398985714285714,0.0130760714285714,56,56,102687.1052631579,103817.2280701754,206504.3333333333,4.245630526315789,24.80429403508772,0.2464650877192983,57,57,98571.91071428572,99708.46428571428,198280.375,3.142796071428571,3.066370178571429,0.0275280357142857,56,56,-0.0790018965460571,-0.0774839748090837,-0.0782392101731792,-0.4538674584418418,-0.0978572914608979,1.10522218884003,-0.0782392101731792,1.10522218884003,-0.4888587102555426,-0.0786232413653984,0.0141646347445842,0.0141646347445842,서울특별시 종로구,2023-10-30,2023-12-25,581686.4575,520879.4844642857,-0.1045356518992266,6036736.982142857,5883938.392857143,-0.0253114538098487,56,56,56,56,4.16875,5.8,5.8,0.28888888888888886,4.5,16
A007,황리단길,D007,찬란한 너의 계절에,경상북도 경주시,"로맨스, 미스터리, 힐링, 가족, 드라마, 성장, 휴먼, 오피스",8,0,397,42,3626,35.0,6,204,52,4314,지정집계CSV_반영,10,0,99,65,55,72,63,10,23,"황리단길, 국립경주박물관",경주IC,경주IC,3.997,포항경주,25.282,태화강역,35.685,확정,부분완성,경상북도 경주시,2026,1,2024,2025~2026 원천 미보유로 2024 대표값 대체,25590.666666666668,501018.0,5156935.325,12,황리단길,찬란한 너의 계절에,17776.53571428571,17590.0,35366.53571428572,1.507427321428571,1.647001785714286,0.0001196428571428,56,56,17309.79069767442,17169.44186046511,34479.23255813953,1.542600465116279,17.71451697674419,0.028243488372093,43,43,18761.46428571429,18167.55357142857,36929.01785714286,1.601830892857143,1.339056607142857,0.0029376785714285,56,56,0.0554061031496174,0.0328341996264111,0.0441796775200122,0.0626256205434212,-0.1869731904618891,23.55373134328358,0.0441796775200122,23.55373134328358,0.036958130803995,-0.1236799091245285,0.0028137363253299,0.0028137363253299,경상북도 경주시,2026-02-20,2026-04-03,311826.44625,336545.07875,0.0792704813759841,2661490.964285714,3257591.125,0.2239722654381681,56,56,56,56,3.2083333333333335,4.4,3.1,-0.29545454545454547,4.4,12
A008,세종문화회관,D008,우리영화,서울특별시 종로구,"멜로, 일상",2,0,276,4,80,180.0,1,16,8,166,지정집계CSV_반영,0,0,85,75,16,69,0,0,31,"경복궁, 세종문화회관",양재IC,양재IC,13.489,김포,16.393,광화문(세종문화회관),0.127,확정,부분완성,서울특별시,2025,1,2024,2025~2026 원천 미보유로 2024 대표값 대체,1294792.25,19274176.33333333,276903548.23333335,12,세종문화회관,우리영화,102228.3571428571,105117.0892857143,207345.4464285714,1.66107375,1.619193214285714,0.0019008928571428,56,56,100388.0,102614.5945945946,203002.5945945946,1.730594864864865,27.51641810810811,0.1203589189189189,37,37,100640.0535714286,102690.6785714286,203330.7321428571,1.708023392857143,1.858627857142857,0.0109780357142857,56,56,-0.0155368198787449,-0.0230829328587153,-0.019362442507737,0.0282646347623895,0.1478728052617032,4.775199624236731,-0.019362442507737,4.775199624236731,0.0174892866823687,0.0874754026024084,0.0090191260483882,0.0090191260483882,서울특별시 종로구,2025-06-13,2025-07-19,621195.9619642858,577345.3785714286,-0.0705905802320368,6710180.642857143,6252492.928571428,-0.0682079572288287,56,56,56,56,3.641666666666667,4.2,4.1,-0.023809523809523937,4.2,12
A009,수원시장,D009,선재 업고 튀어,경기도 수원시 팔달구,"타임슬립, 판타지, 로맨틱 코미디, 청춘, 힐링, 가족, 스릴러",7,1,76,2,169,265.0,1,129,6,737,지정집계CSV_반영,0,0,23,18,0,23,0,0,12,"수원시장, 행리단길",동수원IC,동수원IC,5.658,김포,37.365,수원역(분당),0.139,확정,부분완성,경기도 수원시,2024,0,2024,방영연도 실제값,96474.41666666669,1692126.5,18303004.025,12,수원시장,선재 업고 튀어,41839.94642857143,38978.71428571428,80818.66071428571,,,,56,0,42708.13725490196,39856.13725490196,82564.27450980392,,,,51,0,42855.42857142857,39785.35714285714,82640.78571428571,,,,56,0,0.0242706367846517,0.0206944449534729,0.0225458450300441,,,,0.0225458450300441,,,,,,경기도 수원시 팔달구,2024-04-08,2024-05-28,317665.8957142857,302227.0246428572,-0.0486009712711321,3495972.857142857,3348304.75,-0.0422394890283963,56,56,56,56,4.1831875,5.762,5.762,0.8750406768630002,3.073,16
A010,행리단길,D009,선재 업고 튀어,경기도 수원시 팔달구,"타임슬립, 판타지, 로맨틱 코미디, 청춘, 힐링, 가족, 스릴러",7,1,76,4,639,199.0,2,236,16,1757,지정집계CSV_반영,0,0,23,18,0,23,0,0,12,"수원시장, 행리단길",동수원IC,동수원IC,3.681,김포,36.122,화서역,2.055,확정,부분완성,경기도 수원시,2024,0,2024,방영연도 실제값,96474.41666666669,1692126.5,18303004.025,12,행리단길,선재 업고 튀어,41839.94642857143,38978.71428571428,80818.66071428571,0.2087641071428571,0.8086594642857142,0.0002139285714285,56,56,42708.13725490196,39856.13725490196,82564.27450980392,0.2493558823529412,38.39388745098039,0.1358241176470588,51,51,42855.42857142857,39785.35714285714,82640.78571428571,0.219055,7.452991607142857,0.0461457142857142,56,56,0.0242706367846517,0.0206944449534729,0.0225458450300441,0.0492943590638442,8.216477313755371,214.7061769616026,0.0225458450300441,214.7061769616026,0.0084775298615856,1.541934471650007,0.0448987564490404,0.0448987564490404,경기도 수원시 팔달구,2024-04-08,2024-05-28,317665.8957142857,302227.0246428572,-0.0486009712711321,3495972.857142857,3348304.75,-0.0422394890283963,56,56,56,56,4.1831875,5.762,5.762,0.8750406768630002,3.073,16
