"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"2025-11-02","774 ","0","2","00","0","6452","52","85","27","21","252","6889",
"2025-11-02","774 ","1","1","00","0","255","6","16","4","0","39","320",
"2025-11-02","774 ","1","2","00","0","5956","39","67","25","15","250","6352",
"2025-11-02","775 ","0","1","00","0","340","2","13","10","1","3","369",
"2025-11-02","775 ","0","2","00","0","9412","53","56","23","25","271","9840",
"2025-11-02","775 ","1","1","00","0","392","2","1","6","0","41","442",
"2025-11-02","775 ","1","2","00","0","8446","39","61","9","12","241","8808",
"2025-11-02","776 ","0","1","00","0","782","6","22","6","1","7","824",
"2025-11-02","776 ","0","2","00","0","14005","92","123","19","34","628","14901",
"2025-11-02","776 ","1","1","00","0","721","6","20","12","4","112","875",
"2025-11-02","776 ","1","2","00","0","14116","120","145","39","42","601","15063",
"2025-11-02","777 ","0","1","00","0","411","2","5","1","1","2","422",
"2025-11-02","777 ","0","2","00","0","9995","34","24","4","5","418","10480",
"2025-11-02","777 ","1","1","00","0","594","4","2","1","1","90","692",
"2025-11-02","777 ","1","2","00","0","9573","27","33","3","4","436","10076",
"2025-11-02","778 ","0","1","00","0","41","5","6","2","0","0","54",
"2025-11-02","778 ","0","2","00","0","738","19","14","7","5","36","819",
"2025-11-02","778 ","1","1","00","0","79","3","5","2","0","8","97",
"2025-11-02","778 ","1","2","00","0","968","27","18","3","5","52","1073",
"2025-11-02","779 ","0","1","00","0","534","7","10","5","0","5","561",
"2025-11-02","779 ","0","2","00","0","10801","68","119","28","37","503","11556",
"2025-11-02","779 ","1","1","00","0","723","8","15","8","0","117","871",
"2025-11-02","779 ","1","2","00","0","11868","54","89","15","26","537","12589",
"2025-11-02","780 ","1","2","00","0","10004","65","159","49","276","319","10872",
"2025-11-02","781 ","0","1","00","0","380","4","17","4","1","1","407",
"2025-11-02","781 ","0","2","00","0","10014","54","71","69","41","310","10559",
"2025-11-02","781 ","1","1","00","0","332","4","11","5","5","45","402",
"2025-11-02","781 ","1","2","00","0","6387","52","54","42","36","231","6802",
"2025-11-02","782 ","0","2","00","0","1090","17","2","0","0","21","1130",
"2025-11-02","782 ","1","2","00","0","911","13","0","0","0","32","956",
"2025-11-02","785 ","0","1","00","0","381","4","22","28","1","2","438",
"2025-11-02","785 ","0","2","00","0","11094","96","79","224","50","443","11986",
"2025-11-02","785 ","1","1","00","0","405","9","26","27","1","45","513",
"2025-11-02","785 ","1","2","00","0","12220","84","89","231","41","461","13126",
"2025-11-02","786 ","0","1","00","0","254","5","5","5","0","0","269",
"2025-11-02","786 ","0","2","00","0","4556","76","28","23","4","218","4905",
"2025-11-02","786 ","1","1","00","0","158","6","3","3","0","13","183",
"2025-11-02","786 ","1","2","00","0","2581","51","18","12","4","127","2793",
"2025-11-02","787 ","0","1","00","0","124","4","10","3","0","0","141",
"2025-11-02","787 ","0","2","00","0","3385","74","28","35","14","165","3701",
"2025-11-02","787 ","1","1","00","0","160","3","8","2","0","32","205",
"2025-11-02","787 ","1","2","00","0","3964","69","27","35","13","171","4279",
"2025-11-02","788 ","0","1","00","0","299","7","25","14","4","0","349",
"2025-11-02","788 ","0","2","00","0","7296","167","58","178","35","290","8024",
"2025-11-02","788 ","1","1","00","0","531","10","13","9","0","73","636",
"2025-11-02","788 ","1","2","00","0","12524","200","88","150","31","465","13458",
"2025-11-02","789 ","0","1","00","0","102","1","1","2","0","1","107",
"2025-11-02","789 ","0","2","00","0","1687","26","10","7","0","71","1801",
"2025-11-02","789 ","1","1","00","0","105","2","3","2","1","7","120",
"2025-11-02","789 ","1","2","00","0","1440","23","5","7","4","42","1521",
"2025-11-02","790 ","1","2","00","0","11462","89","163","87","92","476","12369",
"2025-11-02","791 ","0","2","00","0","3670","16","7","0","0","152","3845",
"2025-11-02","791 ","1","2","00","0","3547","13","8","4","0","161","3733",
"2025-11-02","795 ","1","2","00","0","22921","246","227","241","106","668","24409",
"2025-11-02","797 ","0","2","00","0","3751","12","7","1","0","133","3904",
"2025-11-02","797 ","1","2","00","0","2021","18","3","0","0","65","2107",
"2025-11-02","798 ","0","2","00","0","6714","39","100","2","2","224","7081",
"2025-11-02","798 ","1","2","00","0","7875","43","99","4","7","291","8319",
"2025-11-02","799 ","0","1","00","0","636","14","39","12","3","1","705",
"2025-11-02","799 ","0","2","00","0","20084","288","219","185","66","814","21656",
"2025-11-02","799 ","1","1","00","0","717","17","31","25","4","102","896",
"2025-11-02","799 ","1","2","00","0","18988","197","169","164","64","765","20347",
"2025-11-02","876 ","0","1","11","0","147","6","15","6","3","11","188",
