집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20220901,011 ,0,1,00,1,6839,325,405,456,422,1017,9464,
20220901,011 ,0,2,00,1,65342,1861,732,852,2155,4199,75141,
20220901,011 ,1,1,00,1,8360,418,685,553,344,1137,11497,
20220901,011 ,1,2,00,1,67950,1798,794,904,2238,4277,77961,
20220901,012 ,0,1,00,1,229,6,13,19,2,28,297,
20220901,012 ,0,2,00,1,1124,21,13,19,45,29,1251,
20220901,012 ,1,1,00,1,159,5,7,15,4,13,203,
20220901,012 ,1,2,00,1,870,11,9,9,32,16,947,
20220901,013 ,0,1,00,1,468,24,47,33,7,39,618,
20220901,013 ,0,2,00,1,2426,78,60,50,189,85,2888,
20220901,013 ,1,1,00,1,505,40,35,33,8,56,677,
20220901,013 ,1,2,00,1,2618,78,77,49,167,75,3064,
20220901,025 ,0,1,08,1,2850,0,88,25,10,30,3003,
20220901,025 ,0,2,08,1,2155,22,38,4,10,104,2333,
20220901,025 ,1,1,08,1,3517,33,64,31,13,41,3699,
20220901,025 ,1,2,08,1,2581,20,41,9,20,144,2815,
20220901,029 ,0,1,00,1,1729,95,197,182,191,291,2685,
20220901,029 ,0,2,00,1,13517,347,199,221,2283,791,17358,
20220901,029 ,1,1,00,1,2095,108,223,194,208,336,3164,
20220901,029 ,1,2,00,1,14937,382,229,269,2402,925,19144,
20220901,053 ,0,1,00,1,3215,115,166,168,114,458,4236,
20220901,053 ,0,2,00,1,34609,913,548,433,1139,2062,39704,
20220901,053 ,1,1,00,1,3364,122,220,182,99,441,4428,
20220901,053 ,1,2,00,1,36312,906,677,434,1144,2137,41610,
20220901,056 ,0,1,00,1,157,6,6,6,2,13,190,
20220901,056 ,0,2,00,1,603,11,12,11,86,23,746,
20220901,056 ,1,1,00,1,129,10,6,6,3,8,162,
20220901,056 ,1,2,00,1,563,13,11,3,97,23,710,
20220901,057 ,0,1,00,1,94,6,10,0,0,18,128,
20220901,057 ,0,2,00,1,1173,14,25,12,9,70,1303,
20220901,057 ,1,1,00,1,65,4,6,1,1,10,87,
20220901,057 ,1,2,00,1,873,13,22,5,2,65,980,
20220901,058 ,0,1,00,1,31,0,3,0,1,6,41,
20220901,058 ,0,2,00,1,589,12,3,2,17,24,647,
20220901,058 ,1,1,00,1,51,1,5,4,0,9,70,
20220901,058 ,1,2,00,1,726,22,8,9,24,33,822,
20220901,061 ,0,1,00,1,5839,252,624,462,124,777,8078,
20220901,061 ,0,2,00,1,79454,3033,2072,1885,1658,4015,92117,
20220901,061 ,1,1,00,1,5654,270,628,779,407,724,8462,
20220901,061 ,1,2,00,1,78384,2838,2027,1747,1754,3978,90728,
20220901,062 ,0,1,00,1,8221,365,698,511,170,996,10961,
20220901,062 ,0,2,00,1,71981,3165,1935,2417,2164,3842,85504,
20220901,062 ,1,1,00,1,7449,336,671,661,135,1030,10282,
20220901,062 ,1,2,00,1,84726,3539,2089,2841,2559,4815,100569,
20220901,063 ,0,1,00,1,1790,101,183,132,113,236,2555,
20220901,063 ,0,2,00,1,13935,582,211,304,304,843,16179,
20220901,063 ,1,1,00,1,820,47,83,61,28,91,1130,
20220901,063 ,1,2,00,1,7715,315,176,299,357,444,9306,
20220901,064 ,0,1,00,1,5952,245,426,324,144,800,7891,
20220901,064 ,0,2,00,1,70659,2041,1690,1059,1545,3837,80831,
20220901,064 ,1,1,00,1,5551,246,417,312,104,779,7409,
20220901,064 ,1,2,00,1,73100,2222,2105,1096,1477,3926,83926,
20220901,065 ,0,1,00,1,2935,71,64,57,9,324,3460,
20220901,065 ,0,2,00,1,40029,549,2365,191,156,1678,44968,
20220901,065 ,1,1,00,1,3690,73,73,46,15,353,4250,
20220901,065 ,1,2,00,1,41203,486,2191,158,170,1624,45832,
20220901,066 ,0,1,00,1,1490,82,97,67,26,176,1938,
20220901,066 ,0,2,00,1,16315,558,181,250,229,873,18406,
20220901,066 ,1,1,00,1,1287,79,77,58,14,169,1684,
20220901,066 ,1,2,00,1,14596,476,180,215,168,769,16404,
20220901,067 ,0,1,00,1,5832,236,600,526,163,761,8118,
20220901,067 ,0,2,00,1,65816,2263,1439,1679,1822,3499,76518,
20220901,067 ,1,1,00,1,5067,223,588,556,282,653,7369,
20220901,067 ,1,2,00,1,61015,2279,1460,1786,2023,3177,71740,
20220901,068 ,0,1,00,1,7410,339,727,484,199,1037,10196,
