집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20221101,011 ,0,1,00,1,5820,287,359,490,350,909,8215,
20221101,011 ,0,2,00,1,61845,1896,778,933,2195,4086,71733,
20221101,011 ,1,1,00,1,7209,333,638,565,271,1022,10038,
20221101,011 ,1,2,00,1,69392,1990,854,1018,2390,4515,80159,
20221101,012 ,0,1,00,1,303,11,13,12,8,27,374,
20221101,012 ,0,2,00,1,1253,21,17,23,53,29,1396,
20221101,012 ,1,1,00,1,162,6,5,7,6,21,207,
20221101,012 ,1,2,00,1,921,14,9,16,35,20,1015,
20221101,013 ,0,1,00,1,510,30,29,80,11,40,700,
20221101,013 ,0,2,00,1,2574,85,68,51,200,78,3056,
20221101,013 ,1,1,00,1,541,32,26,75,16,63,753,
20221101,013 ,1,2,00,1,2703,69,102,60,176,86,3196,
20221101,025 ,0,1,08,1,2799,0,117,27,173,25,3141,
20221101,025 ,0,2,08,1,2278,16,44,5,31,113,2487,
20221101,025 ,1,1,08,1,3396,46,75,87,163,40,3807,
20221101,025 ,1,2,08,1,2580,23,56,3,42,150,2854,
20221101,029 ,0,1,00,1,1665,81,244,199,207,256,2652,
20221101,029 ,0,2,00,1,13533,301,218,213,2197,840,17302,
20221101,029 ,1,1,00,1,2114,106,217,227,193,320,3177,
20221101,029 ,1,2,00,1,14982,342,232,261,2056,993,18866,
20221101,053 ,0,1,00,1,3026,98,188,178,101,430,4021,
20221101,053 ,0,2,00,1,33437,834,512,395,1146,2034,38358,
20221101,053 ,1,1,00,1,2982,105,241,137,81,420,3966,
20221101,053 ,1,2,00,1,34371,797,653,404,1041,2003,39269,
20221101,056 ,0,1,00,1,146,9,5,9,4,9,182,
20221101,056 ,0,2,00,1,533,10,6,13,27,28,617,
20221101,056 ,1,1,00,1,123,4,5,25,1,10,168,
20221101,056 ,1,2,00,1,494,15,7,8,31,20,575,
20221101,057 ,0,1,00,1,94,10,8,4,0,16,132,
20221101,057 ,0,2,00,1,1320,26,22,8,18,110,1504,
20221101,057 ,1,1,00,1,61,6,5,3,0,10,85,
20221101,057 ,1,2,00,1,1008,31,15,4,5,67,1130,
20221101,058 ,0,1,00,1,46,3,5,1,0,9,64,
20221101,058 ,0,2,00,1,697,17,12,2,15,34,777,
20221101,058 ,1,1,00,1,48,2,11,2,0,11,74,
20221101,058 ,1,2,00,1,767,17,11,11,22,36,864,
20221101,061 ,0,1,00,1,5317,240,669,466,99,724,7515,
20221101,061 ,0,2,00,1,76324,2727,2172,1833,1883,3848,88787,
20221101,061 ,1,1,00,1,4905,214,502,551,181,634,6987,
20221101,061 ,1,2,00,1,73351,2632,2178,1966,2418,3683,86228,
20221101,062 ,0,1,00,1,6908,342,698,578,171,887,9584,
20221101,062 ,0,2,00,1,72150,3043,1868,2587,2252,4022,85922,
20221101,062 ,1,1,00,1,6678,313,635,655,172,957,9410,
20221101,062 ,1,2,00,1,80681,3326,2114,3061,2647,4589,96418,
20221101,063 ,0,1,00,1,1295,41,36,27,9,185,1593,
20221101,063 ,0,2,00,1,13056,505,213,395,402,766,15337,
20221101,063 ,1,1,00,1,697,41,67,58,18,76,957,
20221101,063 ,1,2,00,1,7372,312,174,297,379,435,8969,
20221101,064 ,0,1,00,1,5303,174,410,322,144,690,7043,
20221101,064 ,0,2,00,1,68993,1934,1695,1070,1542,3763,78997,
20221101,064 ,1,1,00,1,5122,174,423,313,85,712,6829,
20221101,064 ,1,2,00,1,70148,1972,2028,1112,1501,3809,80570,
20221101,065 ,0,1,00,1,2412,61,47,57,23,285,2885,
20221101,065 ,0,2,00,1,37057,455,2389,174,248,1497,41820,
20221101,065 ,1,1,00,1,3058,57,66,56,10,312,3559,
20221101,065 ,1,2,00,1,39263,424,2266,166,147,1538,43804,
20221101,066 ,0,1,00,1,1270,72,87,64,28,181,1702,
20221101,066 ,0,2,00,1,14698,522,170,213,364,792,16759,
20221101,066 ,1,1,00,1,1157,56,89,44,21,167,1534,
20221101,066 ,1,2,00,1,13940,464,163,214,255,754,15790,
20221101,067 ,0,1,00,1,5048,217,528,493,150,672,7108,
20221101,067 ,0,2,00,1,62860,2163,1491,1709,1638,3557,73418,
20221101,067 ,1,1,00,1,4575,190,608,631,236,581,6821,
20221101,067 ,1,2,00,1,58126,2226,1439,1741,1831,3157,68520,
20221101,068 ,0,1,00,1,6680,339,741,502,202,976,9440,
20221101,068 ,0,2,00,1,71505,2680,1335,1533,3064,4481,84598,
20221101,068 ,1,1,00,1,8021,397,766,743,488,1130,11545,
20221101,068 ,1,2,00,1,77291,2871,1334,1369,2451,4746,90062,
20221101,069 ,0,1,00,1,193,3,0,1,0,26,223,
20221101,069 ,0,2,00,1,2574,24,23,0,1,82,2704,
20221101,069 ,1,1,00,1,362,4,0,0,0,41,407,
20221101,069 ,1,2,00,1,5124,63,8,0,0,171,5366,
20221101,074 ,0,1,10,1,504,14,32,42,20,80,692,
20221101,074 ,0,2,10,1,7512,163,106,250,267,480,8778,
20221101,074 ,1,1,10,1,525,16,21,52,8,103,725,
20221101,074 ,1,2,10,1,6841,152,97,244,147,447,7928,
20221101,091 ,0,1,00,1,223,23,33,28,18,19,344,
20221101,091 ,0,2,00,1,1562,70,55,366,182,84,2319,
20221101,091 ,1,1,00,1,253,24,36,23,20,20,376,
20221101,091 ,1,2,00,1,1789,94,66,389,207,89,2634,
20221101,092 ,0,1,00,1,548,28,65,35,11,73,760,
20221101,092 ,0,2,00,1,3810,137,154,69,198,273,4641,
20221101,092 ,1,1,00,1,436,22,53,21,13,75,620,
20221101,092 ,1,2,00,1,3382,108,151,58,216,228,4143,
20221101,101 ,0,1,00,0,7162,192,518,418,96,96,8482,
20221101,101 ,0,2,00,0,78690,2563,8369,1957,1193,3255,96027,
20221101,101 ,1,1,00,0,6389,233,382,576,111,619,8310,
20221101,101 ,1,2,00,0,77192,2871,8943,2539,1655,3056,96256,
20221101,102 ,0,1,00,0,2499,49,118,53,22,38,2779,
20221101,102 ,0,2,00,0,35178,464,1261,145,231,1790,39069,
20221101,102 ,1,1,00,0,2367,65,59,47,5,355,2898,
20221101,102 ,1,2,00,0,34009,508,1139,141,191,1846,37834,
20221101,103 ,0,1,00,0,2331,103,216,237,42,27,2956,
20221101,103 ,0,2,00,0,33426,1493,2653,988,532,1542,40634,
20221101,103 ,1,1,00,0,2594,109,235,277,31,322,3568,
20221101,103 ,1,2,00,0,38914,1541,2685,1106,622,1860,46728,
20221101,104 ,0,1,00,0,93,5,31,21,4,1,155,
20221101,104 ,0,2,00,0,547,29,24,58,60,18,736,
20221101,104 ,1,1,00,0,71,3,14,17,2,8,115,
20221101,104 ,1,2,00,0,501,31,17,53,56,10,668,
20221101,105 ,0,1,00,0,1178,54,16,98,14,20,1380,
20221101,105 ,0,2,00,0,11387,232,426,162,145,597,12949,
20221101,105 ,1,1,00,0,1270,35,99,105,19,130,1658,
20221101,105 ,1,2,00,0,13380,262,519,149,123,685,15118,
20221101,106 ,0,1,00,0,1568,71,334,233,48,22,2276,
20221101,106 ,0,2,00,0,19380,1448,1264,935,635,1156,24818,
20221101,106 ,1,1,00,0,1833,123,299,231,73,226,2785,
20221101,106 ,1,2,00,0,17485,1374,1213,946,605,1075,22698,
20221101,107 ,0,1,00,0,1648,97,80,74,26,15,1940,
20221101,107 ,0,2,00,0,16280,494,702,254,201,984,18915,
20221101,107 ,1,1,00,0,1771,63,162,100,35,293,2424,
20221101,107 ,1,2,00,0,17978,581,728,309,214,1096,20906,
20221101,108 ,0,1,00,0,2387,67,213,190,76,26,2959,
20221101,108 ,0,2,00,0,26840,671,1350,559,750,1273,31443,
20221101,108 ,1,1,00,0,2981,74,212,215,49,364,3895,
20221101,108 ,1,2,00,0,26288,725,1376,532,720,1302,30943,
20221101,109 ,0,1,00,0,301,28,93,64,13,4,503,
