"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"2025-06-01","532 ","0","2","00","0","2150","7","8","8","10","65","2248",
"2025-06-01","532 ","1","1","00","0","142","5","11","2","0","21","181",
"2025-06-01","532 ","1","2","00","0","1715","7","7","7","8","58","1802",
"2025-06-01","533 ","0","1","00","0","204","0","9","8","1","3","225",
"2025-06-01","533 ","0","2","00","0","2777","16","31","21","20","87","2952",
"2025-06-01","533 ","1","1","00","0","221","2","4","13","2","15","257",
"2025-06-01","533 ","1","2","00","0","2340","14","26","20","22","73","2495",
"2025-06-01","534 ","0","1","00","0","110","2","1","2","0","2","117",
"2025-06-01","534 ","0","2","00","0","1737","9","23","9","8","40","1826",
"2025-06-01","534 ","1","1","00","0","112","3","2","2","1","9","129",
"2025-06-01","534 ","1","2","00","0","1461","6","18","5","8","36","1534",
"2025-06-01","535 ","0","1","00","0","114","11","1","9","2","4","141",
"2025-06-01","535 ","0","2","00","0","1557","16","33","48","15","56","1725",
"2025-06-01","535 ","1","1","00","0","105","5","30","5","1","14","160",
"2025-06-01","535 ","1","2","00","0","941","12","37","27","15","47","1079",
"2025-06-01","536 ","0","1","00","0","220","7","11","8","1","0","247",
"2025-06-01","536 ","0","2","00","0","2793","22","97","36","25","85","3058",
"2025-06-01","536 ","1","1","00","0","231","11","6","13","2","32","295",
"2025-06-01","536 ","1","2","00","0","2567","20","75","22","26","84","2794",
"2025-06-01","537 ","0","1","00","0","175","2","6","8","2","0","193",
"2025-06-01","537 ","0","2","00","0","1860","11","23","32","51","76","2053",
"2025-06-01","537 ","1","1","00","0","187","0","5","9","1","22","224",
"2025-06-01","537 ","1","2","00","0","2115","12","27","15","29","68","2266",
"2025-06-01","538 ","0","1","00","0","145","4","12","22","3","1","187",
"2025-06-01","538 ","0","2","00","0","2151","29","31","72","39","67","2389",
"2025-06-01","538 ","1","1","00","0","183","5","20","13","0","21","242",
"2025-06-01","538 ","1","2","00","0","1835","21","36","46","22","59","2019",
"2025-06-01","539 ","0","1","00","0","87","4","6","5","0","1","103",
"2025-06-01","539 ","0","2","00","0","1199","16","9","30","21","33","1308",
"2025-06-01","539 ","1","1","00","0","122","4","6","16","0","7","155",
"2025-06-01","539 ","1","2","00","0","1084","15","5","28","27","37","1196",
"2025-06-01","540 ","0","1","00","0","272","5","15","29","4","5","330",
"2025-06-01","540 ","0","2","00","0","4493","66","93","116","129","206","5103",
"2025-06-01","540 ","1","1","00","0","460","13","27","22","6","72","600",
"2025-06-01","540 ","1","2","00","0","6950","95","116","123","152","287","7723",
"2025-06-01","541 ","0","1","00","0","509","6","37","25","1","3","581",
"2025-06-01","541 ","0","2","00","0","5900","111","118","166","102","298","6695",
"2025-06-01","541 ","1","1","00","0","570","6","30","28","4","81","719",
"2025-06-01","541 ","1","2","00","0","8324","119","137","158","101","405","9244",
"2025-06-01","542 ","0","1","00","0","434","8","70","99","11","3","625",
"2025-06-01","542 ","0","2","00","0","9910","140","230","537","228","431","11476",
"2025-06-01","542 ","1","1","00","0","493","8","79","90","9","60","739",
"2025-06-01","542 ","1","2","00","0","9147","137","204","465","269","366","10588",
"2025-06-01","543 ","0","1","00","0","483","9","36","50","9","2","589",
"2025-06-01","543 ","0","2","00","0","8367","193","197","248","195","325","9525",
"2025-06-01","543 ","1","1","00","0","616","8","45","32","5","79","785",
"2025-06-01","543 ","1","2","00","0","9059","187","192","236","208","338","10220",
"2025-06-01","544 ","0","1","00","0","429","2","23","31","22","0","507",
"2025-06-01","544 ","0","2","00","0","6423","33","125","102","250","150","7083",
"2025-06-01","544 ","1","1","00","0","552","10","38","40","4","46","690",
"2025-06-01","544 ","1","2","00","0","5656","31","99","50","201","123","6160",
"2025-06-01","545 ","0","1","00","0","324","3","8","1","4","0","340",
"2025-06-01","545 ","0","2","00","0","3943","20","162","17","25","91","4258",
"2025-06-01","545 ","1","1","00","0","333","2","8","4","0","37","384",
"2025-06-01","545 ","1","2","00","0","3197","14","131","21","26","67","3456",
"2025-06-01","546 ","0","1","00","0","117","1","1","3","2","1","125",
"2025-06-01","546 ","0","2","00","0","1611","9","58","4","5","33","1720",
"2025-06-01","546 ","1","1","00","0","133","1","6","2","3","10","155",
"2025-06-01","546 ","1","2","00","0","1387","5","69","2","2","35","1500",
"2025-06-01","547 ","0","1","00","0","42","5","2","1","0","7","57",
"2025-06-01","547 ","0","2","00","0","1122","5","5","6","8","22","1168",
"2025-06-01","547 ","1","1","00","0","49","0","3","1","0","6","59",
"2025-06-01","547 ","1","2","00","0","672","3","2","2","3","13","695",
"2025-06-01","548 ","0","1","00","0","222","6","15","18","3","0","264",
"2025-06-01","548 ","0","2","00","0","3805","45","27","59","64","75","4075",
"2025-06-01","548 ","1","1","00","0","269","2","31","19","0","17","338",
"2025-06-01","548 ","1","2","00","0","3037","29","21","37","41","54","3219",
"2025-06-01","549 ","0","1","00","0","271","2","9","3","1","0","286",
"2025-06-01","549 ","0","2","00","0","3652","16","41","11","23","92","3835",
"2025-06-01","549 ","1","1","00","0","243","2","7","3","0","27","282",
"2025-06-01","549 ","1","2","00","0","3437","14","41","23","26","76","3617",
"2025-06-01","550 ","0","1","00","0","70","1","1","2","1","1","76",
"2025-06-01","550 ","0","2","00","0","975","7","4","8","8","19","1021",
"2025-06-01","550 ","1","1","00","0","91","1","5","2","0","8","107",
"2025-06-01","550 ","1","2","00","0","903","5","3","10","4","23","948",
"2025-06-01","551 ","0","1","00","0","76","0","2","1","0","0","79",
"2025-06-01","551 ","0","2","00","0","1148","2","5","7","8","50","1220",
"2025-06-01","551 ","1","1","00","0","83","1","1","2","1","9","97",
"2025-06-01","551 ","1","2","00","0","1102","5","6","7","2","44","1166",
"2025-06-01","552 ","0","1","00","0","196","5","9","17","2","1","230",
"2025-06-01","552 ","0","2","00","0","3800","103","87","85","45","111","4231",
"2025-06-01","552 ","1","1","00","0","214","3","15","6","0","25","263",
"2025-06-01","552 ","1","2","00","0","4153","97","96","84","32","130","4592",
"2025-06-01","553 ","0","1","00","0","1414","4","63","24","2","0","1507",
"2025-06-01","553 ","0","2","00","0","18996","131","242","159","88","479","20095",
"2025-06-01","553 ","1","1","00","0","1515","9","32","34","7","156","1753",
"2025-06-01","553 ","1","2","00","0","19836","148","239","195","90","506","21014",
"2025-06-01","554 ","0","1","00","0","419","15","10","10","1","2","457",
"2025-06-01","554 ","0","2","00","0","8420","38","107","21","14","244","8844",
"2025-06-01","554 ","1","1","00","0","466","5","15","4","2","56","548",
"2025-06-01","554 ","1","2","00","0","7116","31","103","14","23","192","7479",
"2025-06-01","555 ","0","1","00","0","340","1","15","29","4","2","391",
"2025-06-01","555 ","0","2","00","0","6523","129","104","168","120","234","7278",
"2025-06-01","555 ","1","1","00","0","549","2","38","21","5","72","687",
"2025-06-01","555 ","1","2","00","0","7145","133","101","117","110","268","7874",
"2025-06-01","556 ","0","1","00","0","506","3","8","26","19","7","569",
"2025-06-01","556 ","0","2","00","0","8849","39","234","111","430","211","9874",
"2025-06-01","556 ","1","1","00","0","637","5","11","19","6","48","726",
"2025-06-01","556 ","1","2","00","0","7099","36","156","27","184","158","7660",
"2025-06-01","557 ","0","1","00","0","162","2","2","4","0","0","170",
"2025-06-01","557 ","0","2","00","0","2762","16","23","7","13","69","2890",
"2025-06-01","557 ","1","1","00","0","220","2","0","1","0","19","242",
"2025-06-01","557 ","1","2","00","0","2788","12","25","2","10","61","2898",
"2025-06-01","558 ","0","1","00","0","187","3","3","5","1","0","199",
"2025-06-01","558 ","0","2","00","0","3091","23","46","17","15","64","3256",
"2025-06-01","558 ","1","1","00","0","207","1","3","2","1","21","235",
"2025-06-01","558 ","1","2","00","0","2527","18","44","19","10","51","2669",
"2025-06-01","559 ","0","1","00","0","138","3","6","5","2","0","154",
"2025-06-01","559 ","0","2","00","0","1821","15","30","24","31","37","1958",
"2025-06-01","559 ","1","1","00","0","133","2","8","1","1","19","164",
"2025-06-01","559 ","1","2","00","0","1495","21","27","26","33","41","1643",
"2025-06-01","560 ","0","1","00","0","307","6","7","15","3","1","339",
"2025-06-01","560 ","0","2","00","0","6306","44","98","67","86","166","6767",
"2025-06-01","560 ","1","1","00","0","345","3","19","41","1","54","463",
