"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"2023-06-01","011 ","0","1","00","1","6019","131","120","420","328","917","7935",
"2023-06-01","011 ","0","2","00","1","65132","1908","825","906","2475","4378","75624",
"2023-06-01","011 ","1","1","00","1","6420","262","609","427","325","1010","9053",
"2023-06-01","011 ","1","2","00","1","70192","1925","845","1004","2510","4679","81155",
"2023-06-01","012 ","0","1","00","1","197","6","7","6","1","24","241",
"2023-06-01","012 ","0","2","00","1","1159","10","16","24","95","27","1331",
"2023-06-01","012 ","1","1","00","1","153","5","4","5","1","15","183",
"2023-06-01","012 ","1","2","00","1","882","7","14","9","60","23","995",
"2023-06-01","013 ","0","1","00","1","375","19","47","23","9","48","521",
"2023-06-01","013 ","0","2","00","1","2464","74","65","46","112","74","2835",
"2023-06-01","013 ","1","1","00","1","430","24","38","22","9","39","562",
"2023-06-01","013 ","1","2","00","1","2728","69","95","48","114","70","3124",
"2023-06-01","025 ","0","1","08","1","2634","0","108","46","107","26","2921",
"2023-06-01","025 ","0","2","08","1","2168","25","65","21","11","113","2403",
"2023-06-01","025 ","1","1","08","1","3139","58","76","65","95","32","3465",
"2023-06-01","025 ","1","2","08","1","2544","20","59","20","32","124","2799",
"2023-06-01","029 ","0","1","00","1","1496","67","188","137","161","263","2312",
"2023-06-01","029 ","0","2","00","1","13962","302","235","217","2208","831","17755",
"2023-06-01","029 ","1","1","00","1","1778","97","193","156","167","314","2705",
"2023-06-01","029 ","1","2","00","1","15457","338","252","281","2167","920","19415",
"2023-06-01","053 ","0","1","00","1","2661","80","146","125","67","398","3477",
"2023-06-01","053 ","0","2","00","1","33594","831","589","448","1010","2024","38496",
"2023-06-01","053 ","1","1","00","1","3048","61","126","119","63","434","3851",
"2023-06-01","053 ","1","2","00","1","36753","872","725","412","963","2156","41881",
"2023-06-01","056 ","0","1","00","1","127","4","3","5","3","11","153",
"2023-06-01","056 ","0","2","00","1","602","10","9","6","53","23","703",
"2023-06-01","056 ","1","1","00","1","97","5","7","6","1","9","125",
"2023-06-01","056 ","1","2","00","1","514","12","6","5","42","22","601",
"2023-06-01","057 ","0","1","00","1","100","5","4","2","1","21","133",
"2023-06-01","057 ","0","2","00","1","1613","34","25","14","12","111","1809",
"2023-06-01","057 ","1","1","00","1","51","3","3","0","0","16","73",
"2023-06-01","057 ","1","2","00","1","1186","23","26","8","6","85","1334",
"2023-06-01","058 ","0","1","00","1","37","5","5","1","0","6","54",
"2023-06-01","058 ","0","2","00","1","752","14","11","2","24","39","842",
"2023-06-01","058 ","1","1","00","1","45","3","1","1","0","10","60",
"2023-06-01","058 ","1","2","00","1","852","20","16","12","15","44","959",
"2023-06-01","061 ","0","1","00","1","5009","265","744","704","218","692","7632",
"2023-06-01","061 ","0","2","00","1","79594","2928","2100","1797","1785","4127","92331",
"2023-06-01","061 ","1","1","00","1","4750","249","777","1496","751","633","8656",
"2023-06-01","061 ","1","2","00","1","78029","2779","2008","1409","1635","4057","89917",
"2023-06-01","062 ","0","1","00","1","5711","342","607","459","143","860","8122",
"2023-06-01","062 ","0","2","00","1","74440","3160","1985","2500","2304","4148","88537",
"2023-06-01","062 ","1","1","00","1","5852","284","593","614","167","946","8456",
"2023-06-01","062 ","1","2","00","1","84580","3449","2184","2995","2784","4907","100899",
"2023-06-01","063 ","0","1","00","1","1381","48","114","77","14","181","1815",
"2023-06-01","063 ","0","2","00","1","12972","533","235","388","477","776","15381",
"2023-06-01","063 ","1","1","00","1","560","31","85","58","16","69","819",
"2023-06-01","063 ","1","2","00","1","7593","304","169","302","462","445","9275",
"2023-06-01","064 ","0","1","00","1","4736","234","306","295","95","657","6323",
"2023-06-01","064 ","0","2","00","1","70178","1931","1875","1064","1541","3873","80462",
"2023-06-01","064 ","1","1","00","1","4824","211","407","270","69","703","6484",
"2023-06-01","064 ","1","2","00","1","74260","2051","2246","1102","1500","4022","85181",
"2023-06-01","065 ","0","1","00","1","2282","52","45","62","11","249","2701",
"2023-06-01","065 ","0","2","00","1","40228","477","2693","188","220","1691","45497",
"2023-06-01","065 ","1","1","00","1","2965","54","89","64","14","308","3494",
"2023-06-01","065 ","1","2","00","1","40936","461","2527","177","368","1674","46143",
"2023-06-01","066 ","0","1","00","1","1167","85","88","31","18","149","1538",
"2023-06-01","066 ","0","2","00","1","15185","505","189","166","346","824","17215",
"2023-06-01","066 ","1","1","00","1","1007","56","56","33","24","157","1333",
"2023-06-01","066 ","1","2","00","1","14045","423","165","162","296","762","15853",
"2023-06-01","067 ","0","1","00","1","4731","188","522","497","138","707","6783",
"2023-06-01","067 ","0","2","00","1","67189","2261","1565","1711","1867","3719","78312",
"2023-06-01","067 ","1","1","00","1","4148","201","511","464","186","563","6073",
"2023-06-01","067 ","1","2","00","1","59375","2123","1429","1720","1933","3226","69806",
"2023-06-01","068 ","0","1","00","1","6327","285","726","443","200","910","8891",
"2023-06-01","068 ","0","2","00","1","71297","2655","1432","1532","3165","4413","84494",
"2023-06-01","068 ","1","1","00","1","7652","394","784","681","390","1000","10901",
"2023-06-01","068 ","1","2","00","1","74983","2774","1336","1409","2477","4696","87675",
"2023-06-01","069 ","0","1","00","1","183","5","1","0","0","16","205",
"2023-06-01","069 ","0","2","00","1","2799","30","26","0","2","107","2964",
"2023-06-01","069 ","1","1","00","1","338","6","0","0","3","43","390",
"2023-06-01","069 ","1","2","00","1","5326","58","12","0","0","192","5588",
"2023-06-01","074 ","0","1","10","1","488","25","29","34","23","78","677",
"2023-06-01","074 ","0","2","10","1","7766","166","106","205","226","558","9027",
"2023-06-01","074 ","1","1","10","1","492","25","18","33","15","82","665",
"2023-06-01","074 ","1","2","10","1","6999","151","98","179","154","526","8107",
"2023-06-01","091 ","0","1","00","1","211","7","7","85","11","23","344",
"2023-06-01","091 ","0","2","00","1","1794","83","58","327","236","103","2601",
"2023-06-01","091 ","1","1","00","1","177","16","30","75","8","24","330",
"2023-06-01","091 ","1","2","00","1","1978","99","61","319","273","101","2831",
"2023-06-01","092 ","0","1","00","1","433","20","61","27","7","70","618",
"2023-06-01","092 ","0","2","00","1","3761","141","145","101","194","266","4608",
"2023-06-01","092 ","1","1","00","1","321","16","47","20","10","55","469",
"2023-06-01","092 ","1","2","00","1","3166","113","131","62","214","232","3918",
"2023-06-01","101 ","0","1","00","0","6877","201","478","372","88","85","8101",
"2023-06-01","101 ","0","2","00","0","80961","2628","8592","1860","1142","3319","98502",
"2023-06-01","101 ","1","1","00","0","6080","258","341","536","131","685","8031",
"2023-06-01","101 ","1","2","00","0","83561","3080","9211","2613","1632","3454","103551",
"2023-06-01","102 ","0","1","00","0","2181","48","102","40","6","31","2408",
"2023-06-01","102 ","0","2","00","0","38544","522","1354","138","192","1921","42671",
"2023-06-01","102 ","1","1","00","0","2073","49","82","37","6","331","2578",
"2023-06-01","102 ","1","2","00","0","34736","498","1156","136","155","1879","38560",
"2023-06-01","103 ","0","1","00","0","2527","96","193","175","35","33","3059",
"2023-06-01","103 ","0","2","00","0","37781","1558","2771","968","558","1745","45381",
"2023-06-01","103 ","1","1","00","0","2206","101","183","219","32","279","3020",
"2023-06-01","103 ","1","2","00","0","37888","1558","2714","1057","673","1815","45705",
"2023-06-01","104 ","0","1","00","0","65","3","21","14","3","2","108",
"2023-06-01","104 ","0","2","00","0","495","22","20","45","74","10","666",
"2023-06-01","104 ","1","1","00","0","49","3","12","10","1","6","81",
"2023-06-01","104 ","1","2","00","0","446","24","28","47","45","6","596",
"2023-06-01","105 ","0","1","00","0","984","20","49","45","12","9","1119",
"2023-06-01","105 ","0","2","00","0","16575","246","477","186","123","871","18478",
"2023-06-01","105 ","1","1","00","0","869","21","47","26","10","106","1079",
"2023-06-01","105 ","1","2","00","0","16242","274","649","144","131","778","18218",
"2023-06-01","106 ","0","1","00","0","1366","111","322","227","44","25","2095",
"2023-06-01","106 ","0","2","00","0","19363","1718","1210","978","638","1131","25038",
"2023-06-01","106 ","1","1","00","0","1851","127","322","231","62","246","2839",
"2023-06-01","106 ","1","2","00","0","19102","1654","1211","1000","665","1071","24703",
"2023-06-01","107 ","0","1","00","0","1586","48","121","84","20","15","1874",
"2023-06-01","107 ","0","2","00","0","17106","478","713","323","259","1068","19947",
"2023-06-01","107 ","1","1","00","0","1614","54","160","125","29","277","2259",
"2023-06-01","107 ","1","2","00","0","19250","617","736","331","286","1219","22439",
"2023-06-01","108 ","0","1","00","0","2155","48","223","189","52","25","2692",
"2023-06-01","108 ","0","2","00","0","28061","691","1353","572","788","1376","32841",
"2023-06-01","108 ","1","1","00","0","2793","59","243","185","49","376","3705",
"2023-06-01","108 ","1","2","00","0","27239","728","1381","534","798","1321","32001",
"2023-06-01","109 ","0","1","00","0","272","22","59","54","14","0","421",
"2023-06-01","109 ","0","2","00","0","2875","205","153","158","197","153","3741",
"2023-06-01","109 ","1","1","00","0","333","29","80","50","12","44","548",
"2023-06-01","109 ","1","2","00","0","2851","216","168","195","208","162","3800",
"2023-06-01","110 ","0","1","00","0","520","42","197","180","77","3","1019",
"2023-06-01","110 ","0","2","00","0","5115","331","288","475","372","183","6764",
"2023-06-01","110 ","1","1","00","0","675","40","179","156","31","88","1169",
"2023-06-01","110 ","1","2","00","0","6305","341","319","466","410","252","8093",
"2023-06-01","111 ","0","1","00","0","1119","34","128","153","37","10","1481",
"2023-06-01","111 ","0","2","00","0","8568","291","583","419","534","349","10744",
"2023-06-01","111 ","1","1","00","0","1151","34","121","141","35","99","1581",
"2023-06-01","111 ","1","2","00","0","8319","316","567","373","505","344","10424",
"2023-06-01","112 ","0","1","00","0","1230","50","123","237","60","3","1703",
"2023-06-01","112 ","0","2","00","0","8583","618","378","735","1176","335","11825",
"2023-06-01","112 ","1","1","00","0","1004","80","230","231","48","132","1725",
"2023-06-01","112 ","1","2","00","0","8252","588","371","750","1194","327","11482",
"2023-06-01","113 ","0","1","00","0","1025","133","198","267","81","50","1754",
"2023-06-01","113 ","0","2","00","0","11329","561","395","783","1274","582","14924",
"2023-06-01","113 ","1","1","00","0","1526","112","274","236","125","189","2462",
"2023-06-01","113 ","1","2","00","0","11343","567","362","701","1198","576","14747",
"2023-06-01","114 ","0","1","00","0","821","31","169","122","14","12","1169",
"2023-06-01","114 ","0","2","00","0","6443","294","261","575","251","335","8159",
"2023-06-01","114 ","1","1","00","0","713","28","152","88","15","92","1088",
"2023-06-01","114 ","1","2","00","0","6004","241","233","528","197","308","7511",
"2023-06-01","115 ","0","1","00","0","2819","81","110","70","28","20","3128",
"2023-06-01","115 ","0","2","00","0","21999","631","768","256","255","1146","25055",
"2023-06-01","115 ","1","1","00","0","2524","82","126","70","16","360","3178",
"2023-06-01","115 ","1","2","00","0","20202","623","773","247","271","1064","23180",
"2023-06-01","116 ","0","1","00","0","948","42","132","162","25","14","1323",
"2023-06-01","116 ","0","2","00","0","7666","379","229","504","583","410","9771",
"2023-06-01","116 ","1","1","00","0","962","41","138","154","33","119","1447",
"2023-06-01","116 ","1","2","00","0","7735","379","220","486","581","400","9801",
"2023-06-01","117 ","0","1","00","0","93","1","13","15","1","1","124",
"2023-06-01","117 ","0","2","00","0","523","15","11","34","30","28","641",
"2023-06-01","117 ","1","1","00","0","112","7","15","17","0","13","164",
"2023-06-01","117 ","1","2","00","0","608","10","13","35","10","27","703",
"2023-06-01","118 ","0","1","00","0","195","8","50","46","16","4","319",
"2023-06-01","118 ","0","2","00","0","1535","65","56","52","260","50","2018",
"2023-06-01","118 ","1","1","00","0","222","11","54","33","24","23","367",
"2023-06-01","118 ","1","2","00","0","1594","63","51","59","219","59","2045",
"2023-06-01","119 ","0","1","00","0","1180","25","49","25","13","15","1307",
"2023-06-01","119 ","0","2","00","0","9339","244","173","91","243","544","10634",
