"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"2026-05-02","532 ","0","1","00","0","121","0","4","2","2","1","130",
"2026-05-02","532 ","0","2","00","0","2376","13","12","2","6","69","2478",
"2026-05-02","532 ","1","1","00","0","137","2","1","2","3","15","160",
"2026-05-02","532 ","1","2","00","0","2350","10","11","4","7","78","2460",
"2026-05-02","533 ","0","1","00","0","158","2","9","5","2","1","177",
"2026-05-02","533 ","0","2","00","0","3356","20","39","38","64","77","3594",
"2026-05-02","533 ","1","1","00","0","236","5","5","15","4","24","289",
"2026-05-02","533 ","1","2","00","0","3713","21","35","34","71","92","3966",
"2026-05-02","534 ","0","1","00","0","118","2","3","4","0","0","127",
"2026-05-02","534 ","0","2","00","0","2067","6","21","9","34","64","2201",
"2026-05-02","534 ","1","1","00","0","132","0","5","1","0","12","150",
"2026-05-02","534 ","1","2","00","0","1950","6","22","14","25","61","2078",
"2026-05-02","535 ","0","1","00","0","113","2","6","2","1","3","127",
"2026-05-02","535 ","0","2","00","0","1808","11","52","30","15","44","1960",
"2026-05-02","535 ","1","1","00","0","130","3","3","3","2","11","152",
"2026-05-02","535 ","1","2","00","0","1653","10","45","25","22","44","1799",
"2026-05-02","536 ","0","1","00","0","175","3","11","7","2","1","199",
"2026-05-02","536 ","0","2","00","0","3474","42","140","51","57","85","3849",
"2026-05-02","536 ","1","1","00","0","253","3","9","15","4","28","312",
"2026-05-02","536 ","1","2","00","0","3505","41","146","54","51","77","3874",
"2026-05-02","537 ","0","1","00","0","112","6","11","14","1","2","146",
"2026-05-02","537 ","0","2","00","0","2323","24","25","31","110","59","2572",
"2026-05-02","537 ","1","1","00","0","134","1","15","10","6","17","183",
"2026-05-02","537 ","1","2","00","0","2272","23","27","39","99","56","2516",
"2026-05-02","538 ","0","1","00","0","147","4","18","6","1","0","176",
"2026-05-02","538 ","0","2","00","0","2858","30","58","54","63","59","3122",
"2026-05-02","538 ","1","1","00","0","165","2","12","16","2","17","214",
"2026-05-02","538 ","1","2","00","0","2727","30","47","61","81","68","3014",
"2026-05-02","539 ","0","1","00","0","73","3","8","6","3","1","94",
"2026-05-02","539 ","0","2","00","0","1285","24","23","30","56","38","1456",
"2026-05-02","539 ","1","1","00","0","91","2","12","8","0","10","123",
"2026-05-02","539 ","1","2","00","0","1221","27","22","46","65","32","1413",
"2026-05-02","540 ","0","1","00","0","249","11","44","36","12","1","353",
"2026-05-02","540 ","0","2","00","0","6669","125","156","204","338","274","7766",
"2026-05-02","540 ","1","1","00","0","532","12","58","42","13","80","737",
"2026-05-02","540 ","1","2","00","0","9695","162","181","250","374","390","11052",
"2026-05-02","541 ","0","1","00","0","521","8","65","33","7","1","635",
"2026-05-02","541 ","0","2","00","0","7989","236","208","254","219","385","9291",
"2026-05-02","541 ","1","1","00","0","463","9","46","40","14","62","634",
"2026-05-02","541 ","1","2","00","0","8415","228","219","253","240","369","9724",
"2026-05-02","542 ","0","1","00","0","408","14","75","77","13","4","591",
"2026-05-02","542 ","0","2","00","0","10937","187","291","554","376","443","12788",
"2026-05-02","542 ","1","1","00","0","505","13","102","86","12","72","790",
"2026-05-02","542 ","1","2","00","0","10081","169","270","565","420","383","11888",
"2026-05-02","543 ","0","1","00","0","421","17","74","50","12","3","577",
"2026-05-02","543 ","0","2","00","0","9613","275","282","396","454","384","11404",
"2026-05-02","543 ","1","1","00","0","553","13","91","65","14","93","829",
"2026-05-02","543 ","1","2","00","0","11109","282","276","403","603","404","13077",
"2026-05-02","544 ","0","1","00","0","382","8","26","24","6","2","448",
"2026-05-02","544 ","0","2","00","0","6601","50","72","46","156","116","7041",
"2026-05-02","544 ","1","1","00","0","517","11","29","16","4","57","634",
"2026-05-02","544 ","1","2","00","0","6545","39","87","45","124","120","6960",
"2026-05-02","545 ","0","1","00","0","229","8","8","5","0","0","250",
"2026-05-02","545 ","0","2","00","0","4021","23","139","23","40","86","4332",
"2026-05-02","545 ","1","1","00","0","304","5","6","5","0","17","337",
"2026-05-02","545 ","1","2","00","0","4088","24","143","24","39","77","4395",
"2026-05-02","546 ","0","1","00","0","152","7","4","0","1","2","166",
"2026-05-02","546 ","0","2","00","0","2762","16","68","5","8","60","2919",
"2026-05-02","546 ","1","1","00","0","220","5","2","3","1","20","251",
"2026-05-02","546 ","1","2","00","0","3129","12","72","11","9","73","3306",
