"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"2023-04-01","011 ","0","1","00","1","6538","99","31","145","125","818","7756",
"2023-04-01","011 ","0","2","00","1","59329","927","456","414","1236","3335","65697",
"2023-04-01","011 ","1","1","00","1","7064","155","258","176","113","921","8687",
"2023-04-01","011 ","1","2","00","1","68836","1007","474","552","1407","3897","76173",
"2023-04-01","012 ","0","1","00","1","547","10","10","4","1","62","634",
"2023-04-01","012 ","0","2","00","1","3335","13","23","11","25","85","3492",
"2023-04-01","012 ","1","1","00","1","427","1","4","1","3","48","484",
"2023-04-01","012 ","1","2","00","1","2942","9","20","5","17","70","3063",
"2023-04-01","013 ","0","1","00","1","693","19","29","13","11","57","822",
"2023-04-01","013 ","0","2","00","1","4247","43","107","16","125","77","4615",
"2023-04-01","013 ","1","1","00","1","803","22","25","16","19","77","962",
"2023-04-01","013 ","1","2","00","1","5176","35","125","16","121","96","5569",
"2023-04-01","025 ","0","1","08","1","7891","1","108","15","35","36","8086",
"2023-04-01","025 ","0","2","08","1","4634","27","29","4","5","206","4905",
"2023-04-01","025 ","1","1","08","1","9120","46","72","15","33","52","9338",
"2023-04-01","025 ","1","2","08","1","5469","29","14","1","9","253","5775",
"2023-04-01","029 ","0","1","00","1","1651","32","71","49","57","243","2103",
"2023-04-01","029 ","0","2","00","1","12178","118","116","97","814","675","13998",
"2023-04-01","029 ","1","1","00","1","2054","47","70","48","76","266","2561",
"2023-04-01","029 ","1","2","00","1","14228","156","146","132","1021","767","16450",
"2023-04-01","053 ","0","1","00","1","3411","53","74","78","31","473","4120",
"2023-04-01","053 ","0","2","00","1","34242","387","389","220","634","1863","37735",
"2023-04-01","053 ","1","1","00","1","3055","41","101","58","26","403","3684",
"2023-04-01","053 ","1","2","00","1","32690","396","454","191","589","1717","36037",
"2023-04-01","056 ","0","1","00","1","165","6","4","4","2","16","197",
"2023-04-01","056 ","0","2","00","1","715","2","4","7","18","28","774",
"2023-04-01","056 ","1","1","00","1","130","4","5","2","1","16","158",
"2023-04-01","056 ","1","2","00","1","617","8","4","3","15","20","667",
"2023-04-01","057 ","0","1","00","1","70","3","1","0","0","11","85",
"2023-04-01","057 ","0","2","00","1","1272","18","10","9","8","82","1399",
"2023-04-01","057 ","1","1","00","1","61","3","1","0","0","4","69",
"2023-04-01","057 ","1","2","00","1","977","12","7","1","4","62","1063",
"2023-04-01","058 ","0","1","00","1","33","0","4","0","0","4","41",
"2023-04-01","058 ","0","2","00","1","735","16","10","6","6","36","809",
"2023-04-01","058 ","1","1","00","1","60","2","5","1","0","4","72",
"2023-04-01","058 ","1","2","00","1","774","17","7","5","19","36","858",
"2023-04-01","061 ","0","1","00","1","5814","118","249","132","45","739","7097",
"2023-04-01","061 ","0","2","00","1","80592","1340","1516","797","773","3322","88340",
"2023-04-01","061 ","1","1","00","1","5515","114","222","137","50","699","6737",
"2023-04-01","061 ","1","2","00","1","81282","1237","1371","804","931","3390","89015",
"2023-04-01","062 ","0","1","00","1","7000","203","246","144","48","823","8464",
"2023-04-01","062 ","0","2","00","1","77651","1336","1255","728","916","3460","85346",
"2023-04-01","062 ","1","1","00","1","7368","165","277","216","54","934","9014",
"2023-04-01","062 ","1","2","00","1","89749","1517","1314","1067","1087","4090","98824",
