지자체명,연월,영업대수,영엽횟수(회),운행거리(km),영업거리(km),공차거리(km),운행시간(초),영업시간(초),공차시간(초),합계
서울특별시,2023-01,782212,11656967,164606818.4,95341371.5,198001730.4,26807104024,12188608197,14618495827,합계
부산광역시,2023-01,149165,2905228,30737025.5,16930299,13835108.9,5262299434,2160722544,3101576890,합계
대구광역시,2023-01,77957,1450608,14601715.7,7794505,6818146.9,2541393466,1013268130,1528125336,합계
인천광역시,2023-01,100549,1928297,23110779.9,13832265,9343362.9,3591177820,1655515623,1935662197,합계
광주광역시,2023-01,54478,1264658,11787973.6,7077291.3,4840991.6,1972265567,894596288,1077669279,합계
대전광역시,2023-01,45599,1133446,9439961.7,5618484.8,3827129.1,1568952838,765258767,803694071,합계
울산광역시,2023-01,127412,2341691,23563944.9,11992699.7,12526849.2,4084014134,1458393149,2625620985,합계
세종특별자치시,2023-01,2857,78518,988070,503088.6,484981.3,129415071,50035535,79379536,합계
경기도 수원시,2023-01,26852,578781,6602474.1,3961424.4,3244342.5,1124380194,488331016,636049178,합계
경기도 성남시,2023-01,21098,406918,5211525.2,2786938.5,2520303.4,800508174,314069336,486438838,합계
경기도 의정부시,2023-01,8663,232392,2241781.9,1232145.9,1049811,378091263,159056924,219034339,합계
경기도 안양시,2023-01,15535,375809,4172109,2438792.2,1733316.7,652440021,297694809,354745212,합계
경기도 부천시,2023-01,7491,138248,2227811.7,875749.5,5777609.4,269885328,114285267,155600061,합계
경기도 광명시,2023-01,4502,51188,988204.6,439510,560333.9,164915218,48440899,116474319,합계
경기도 평택시,2023-01,14793,388661,3531995.4,1934067.7,1651277.2,548404402,232785229,315619173,합계
경기도 동두천시,2023-01,2866,73461,597717.2,268391.3,485084.6,118212380,33017668,85194712,합계
경기도 안산시,2023-01,11734,310864,2915389.8,1612903.6,2250432.3,464628733,211957502,252671231,합계
경기도 고양시,2023-01,11031,229214,3215124.9,2034429.6,1302305.3,513225328,220840949,292384379,합계
경기도 과천시,2023-01,1949,45653,510560,301302.7,209257.2,82260294,35257588,47002706,합계
경기도 구리시,2023-01,4386,106067,1255204,728417.7,526786.2,187333377,81493316,105840061,합계
