지자체명,연월,영업대수,영엽횟수(회),운행거리(km),영업거리(km),공차거리(km),운행시간(초),영업시간(초),공차시간(초),합계
서울특별시,2024-01,1182941,17189494,239502895.1,143633732.6,132932338.3,39731760634,18227672806,21504087828,합계
부산광역시,2024-01,418461,6288326,69292980.3,36090964.6,33203102.3,12934428044,4803570765,8130857279,합계
대구광역시,2024-01,221133,3176343,33963301.1,16483104.5,17559847.4,6636499539,2270577648,4365921891,합계
인천광역시,2024-01,300795,4447392,56096008.1,30638765.2,25665413.7,9861297440,3766351649,6094945791,합계
광주광역시,2024-01,141530,2693693,25120510,14697948.6,10552125.3,4605933335,1958058074,2647875261,합계
대전광역시,2024-01,137239,2556400,23324305.9,12909540.9,12528653,4498852825,1818777250,2680075575,합계
울산광역시,2024-01,130125,2312537,23694664.1,12073038.3,12467711.6,4143666262,1471429366,2672236896,합계
세종특별자치시,2024-01,8605,156357,2100307,1023832.7,1076474.2,308942610,105740348,203202262,합계
경기도 수원시,2024-01,94462,1602350,17305262.3,10068011.3,7363257.6,3168712718,1356650293,1812062425,합계
경기도 성남시,2024-01,50237,835956,10246193,5519992.9,4726200,1685530386,642973999,1042556387,합계
경기도 의정부시,2024-01,28747,570584,5648874.6,2925923.2,4059587.7,1028376083,392465739,635910344,합계
경기도 안양시,2024-01,45024,765880,8490871,4695378.9,3795492,1563370808,590189899,973180909,합계
경기도 부천시,2024-01,53802,806875,8798875.7,4570998.7,4475857.2,1699333520,639880969,1059452551,합계
경기도 광명시,2024-01,21144,236908,3682633.1,1848014.7,2064949.2,661439483,220522944,440916539,합계
경기도 평택시,2024-01,31688,631540,6052973,3274694.7,4141668.2,1088747072,405459301,683287771,합계
경기도 동두천시,2024-01,8666,172646,1428085,638533.7,789551.2,303507918,80095901,223412017,합계
경기도 안산시,2024-01,55847,1075602,9626517.1,5304105,4573038.9,1805833668,722405505,1083428163,합계
경기도 고양시,2024-01,54198,779122,9871450.7,5876883.9,4004389,1785573523,678202293,1107371230,합계
경기도 과천시,2024-01,6502,107473,1275628,695215.6,580412.3,222077586,84068878,138008708,합계
경기도 구리시,2024-01,17335,279451,3378179,1824703.3,1561246.6,573705426,213704820,360000606,합계
경기도 남양주시,2024-01,24959,419480,4967736.3,2682032.5,2302138.4,854449773,305328479,549121294,합계
경기도 오산시,2024-01,16754,248622,2994736.9,1622392.4,1378570.5,531330899,205731741,325599158,합계
경기도 시흥시,2024-01,30137,467877,5319881,2840328.4,2479552.5,969491479,343433519,626057960,합계
경기도 군포시,2024-01,14082,208443,2362100,1260223,1101876.9,441975112,159663528,282311584,합계
경기도 의왕시,2024-01,1816,26222,301592.2,169060.2,141592.7,54598028,20316120,34281908,합계
경기도 하남시,2024-01,7879,119587,1467653.9,760975.5,740722.4,251699193,91162814,160536379,합계
경기도 용인시,2024-01,40943,574951,8306374.9,4570871.6,4144449.3,1304890915,505561701,799329214,합계
경기도 파주시,2024-01,18431,305496,4536126.5,2278394.5,2259548.4,707256897,228535140,478721757,합계
경기도 이천시,2024-01,10065,176162,2160068,1033143.5,1126924.4,374675368,114985913,259689455,합계
경기도 안성시,2024-01,9628,135564,1870872.8,831760,1152832.9,304452616,88132158,216320458,합계
경기도 김포시,2024-01,14150,215769,3006928.4,1673007.2,1708788.7,476599956,187296570,289303386,합계
경기도 화성시,2024-01,28653,416992,6477151.1,3538615.4,2991464.5,955445935,390929479,564516456,합계
경기도 광주시,2024-01,9820,146151,2066538,1083942.2,982595.7,326573909,116623868,209950041,합계
경기도 양주시,2024-01,7348,112981,1346948.3,735932.5,646518.4,228467802,83184856,145282946,합계
경기도 포천시,2024-01,6683,96609,1336601.2,576091.2,1046870.7,224754980,60124500,164630480,합계
경기도 여주시,2024-01,4265,66926,815339,349011.6,466327.3,142059913,37816166,104243747,합계
경기도 연천군,2024-01,1598,25737,394854.5,168972,509478.9,48407026,14861599,33545427,합계
경기도 가평군,2024-01,3918,62729,820498,366507.9,453990,125561347,33191880,92369467,합계
경기도 양평군,2024-01,4864,75735,984570,415463,569106.9,144007240,41179107,102828133,합계
강원특별자치도 춘천시,2024-01,30900,715208,4724031.1,2278290,2605905.9,969565457,343895545,625669912,합계
강원특별자치도 원주시,2024-01,19512,448803,3330946.7,1718496.6,1956378.3,645006579,223767209,421239370,합계
강원특별자치도 강릉시,2024-01,26068,590148,4347988.5,2197303.2,2211448.7,817153883,291935165,525218718,합계
강원특별자치도 동해시,2024-01,10408,200791,1478605,676844.3,801760.6,326281377,80176483,246104894,합계
강원특별자치도 태백시,2024-01,5729,130812,1079669.6,460901.3,709162.6,188556191,48211568,140344623,합계
강원특별자치도 속초시,2024-01,12304,288877,1911969,862886.1,1049082.8,381204652,117402667,263801985,합계
강원특별자치도 삼척시,2024-01,5578,119825,788753,328354.9,463749,193730755,41069564,152661191,합계
강원특별자치도 홍천군,2024-01,3631,72998,671183,264822.6,406360.3,132039498,27973678,104065820,합계
강원특별자치도 횡성군,2024-01,1171,15441,224292,76299.6,147992.3,41415939,7222401,34193538,합계
강원특별자치도 영월군,2024-01,1978,33010,342413,93701.2,248711.7,61226972,10138983,51087989,합계
강원특별자치도 평창군,2024-01,2704,36760,704582,290539.5,414042.4,76904400,22804835,54099565,합계
강원특별자치도 정선군,2024-01,4862,88572,1274078,447933,826144.9,165252630,37860020,127392610,합계
강원특별자치도 철원군,2024-01,2414,31823,442514,185174.2,257339.7,70146815,15762510,54384305,합계
강원특별자치도 화천군,2024-01,1316,18610,247546,100563.5,146982.4,42115322,8489177,33626145,합계
강원특별자치도 양구군,2024-01,839,10904,155341,68322.2,87018.7,20632572,5289865,15342707,합계
강원특별자치도 인제군,2024-01,1208,12833,243396,98385.7,145010.2,33088686,6770240,26318446,합계
강원특별자치도 고성군,2024-01,1577,15658,328298,121385.8,206912.1,59566505,9972336,49594169,합계
강원특별자치도 양양군,2024-01,2107,20960,319662,121294.4,198367.5,67575520,10457002,57118518,합계
충청북도 청주시,2024-01,83874,1498609,14678323.4,7552141.9,7127642,2618520449,1027901523,1590618926,합계
충청북도 충주시,2024-01,23760,458091,3768738,1578581.8,2190156.1,741621885,207958426,533663459,합계
충청북도 제천시,2024-01,10879,211427,1622929,658784.2,964144.7,309494149,89145871,220348278,합계
충청북도 보은군,2024-01,1776,9583,256841,74573,182267.9,41652562,8020113,33632449,합계
충청북도 옥천군,2024-01,3539,51593,494192,171610.4,322581.5,114722853,20641067,94081786,합계
충청북도 영동군,2024-01,2876,33495,433622,147737.2,285884.7,88494137,14604487,73889650,합계
충청북도 증평군,2024-01,2789,35150,460732.8,154895.4,307361.5,92021447,17919140,74102307,합계
충청북도 진천군,2024-01,2815,54431,682891,298085.9,384805,101286671,28859589,72427082,합계
충청북도 괴산군,2024-01,1355,10121,229778,86587.5,143190.4,28654494,8386425,20268069,합계
충청북도 음성군,2024-01,5675,95617,1289041,529992.2,759048.7,209105023,49130275,159974748,합계
충청북도 단양군,2024-01,1782,16572,257706.6,90714.5,511035.4,50447303,8785400,41661903,합계
충청남도 천안시,2024-01,49346,1104558,9756212.7,5422097.7,4404060.2,1751593366,740973988,1010619378,합계
충청남도 공주시,2024-01,1317,16673,221731,78416.2,143314.7,46768316,8346821,38421495,합계
충청남도 보령시,2024-01,7413,122046,1106679,450746.5,655932.4,257893626,53322771,204570855,합계
충청남도 아산시,2024-01,23719,418175,4619915,2337062.4,2282852.5,796783280,261342988,535440292,합계
충청남도 서산시,2024-01,2416,60334,486428.9,231501.1,295979.8,106407061,27805775,78601286,합계
충청남도 논산시,2024-01,8194,121301,1310535,542480.7,768054.2,281994746,60349020,221645726,합계
충청남도 계룡시,2024-01,1548,30032,322741,140721.5,182019.4,55583383,15030232,40553151,합계
충청남도 당진시,2024-01,2689,47395,611098,232631.9,378466,96593672,23861563,72732109,합계
충청남도 금산군,2024-01,31,292,5010,1197,3812.9,1187992,133254,1054738,합계
충청남도 부여군,2024-01,354,2957,53808,15221.5,38586.4,13474064,1501297,11972767,합계
충청남도 서천군,2024-01,387,3571,65711,21605.2,44105.7,9963826,2004659,7959167,합계
충청남도 청양군,2024-01,1421,7533,198800,51476.7,147323.2,42474135,4592145,37881990,합계
충청남도 홍성군,2024-01,2741,45186,463159,180421.9,282737,100990626,19697516,81293110,합계
충청남도 예산군,2024-01,1386,19612,254239,83118.3,171120.6,50698424,8406628,42291796,합계
충청남도 태안군,2024-01,1470,14557,207296,59319.6,147976.3,45490460,6258470,39231990,합계
전북특별자치도 전주시,2024-01,62332,1276535,10255342.7,5175876.5,5187382.4,1975069246,771888387,1203180859,합계
전북특별자치도 군산시,2024-01,28508,563951,4690051.5,2135373.6,2561435.3,888566015,279494018,609071997,합계
전북특별자치도 익산시,2024-01,6255,120630,1074429,470898.1,603530.8,214517869,60066081,154451788,합계
전북특별자치도 정읍시,2024-01,10636,170766,1606666.7,571583.6,1210863.3,335385308,71387199,263998109,합계
전북특별자치도 남원시,2024-01,6334,92970,881299.7,301948.5,581638.4,206316310,35666798,170649512,합계
전북특별자치도 김제시,2024-01,3502,33779,503270,144705.6,358564.3,90313338,15943544,74369794,합계
전북특별자치도 완주군,2024-01,1150,16783,215760,92653.4,123106.5,37369661,10711513,26658148,합계
전북특별자치도 진안군,2024-01,727,4466,121264,38429.4,82834.5,18733089,4540516,14192573,합계
전북특별자치도 무주군,2024-01,439,3247,74695,24040.4,50654.5,9253367,2185846,7067521,합계
전북특별자치도 장수군,2024-01,465,1607,100945,18166.6,82778.4,9824979,1708705,8116274,합계
전북특별자치도 임실군,2024-01,772,3767,120834,40053.7,80780.2,14981122,3603577,11377545,합계
전북특별자치도 순창군,2024-01,,,,,,,,,합계
전북특별자치도 고창군,2024-01,255,2660,43508,10754.5,32753.4,7642809,1107663,6535146,합계
전북특별자치도 부안군,2024-01,81,783,13099,3564.5,9534.4,2601575,399080,2202495,합계
전라남도 목포시,2024-01,30658,632999,5159444.6,2267866,2904177.9,951928039,331425680,620502359,합계
전라남도 여수시,2024-01,32519,714477,5988078,2968430.9,3019647,1084409112,368169877,716239235,합계
전라남도 순천시,2024-01,9701,236485,1945125,963179.6,981945.3,361042077,120477446,240564631,합계
전라남도 나주시,2024-01,4728,53501,1030771,349304.5,681466.4,136178635,33254376,102924259,합계
전라남도 광양시,2024-01,8228,167124,1514934,765865.6,749068.3,295145763,85460683,209685080,합계
전라남도 담양군,2024-01,2047,15068,301947,101629.9,200317,53002977,9830953,43172024,합계
전라남도 곡성군,2024-01,312,1206,44695,11339.8,33355.1,7392228,1033295,6358933,합계
전라남도 구례군,2024-01,439,4184,68180,18810.3,49369.6,13972118,1696936,12275182,합계
전라남도 고흥군,2024-01,565,3407,97556,22564,74991.9,13842009,2598050,11243959,합계
전라남도 보성군,2024-01,1853,14878,327280,102563,224716.9,36087950,8745170,27342780,합계
전라남도 화순군,2024-01,3017,45740,434691,174281.1,260409.8,106951680,19629930,87321750,합계
전라남도 장흥군,2024-01,691,5312,138961,42530.9,96430,17516946,3790081,13726865,합계
전라남도 강진군,2024-01,25,99,4084,850.7,3233.2,500837,58110,442727,합계
전라남도 해남군,2024-01,2626,33720,528166,166375.6,361790.3,71213418,15298927,55914491,합계
전라남도 영암군,2024-01,869,6928,156110,51946.9,104163,17440002,4415964,13024038,합계
전라남도 무안군,2024-01,3005,46780,614953.3,254179.7,421538.2,83973740,26798974,57174766,합계
전라남도 함평군,2024-01,,,,,,,,,합계
전라남도 영광군,2024-01,2555,27630,447085,143187.5,303897.4,88278734,13901825,74376909,합계
전라남도 장성군,2024-01,2151,17206,369873.9,107465.9,300107,73574561,9947343,63627218,합계
전라남도 완도군,2024-01,2324,28731,398147,109452.1,288694.8,62540374,10984123,51556251,합계
전라남도 진도군,2024-01,1588,7618,323278.9,74602.2,250139.7,36208880,6783430,29425450,합계
전라남도 신안군,2024-01,1181,11913,201255,76295.2,124959.7,22919930,8033868,14886062,합계
경상북도 포항시,2024-01,49419,930349,8545711,4220574.3,4325136.6,1503465772,545994538,957471234,합계
경상북도 경주시,2024-01,26141,481587,4893509.1,2164306.7,2753206.2,821671831,237409378,584262453,합계
경상북도 김천시,2024-01,8840,133409,1427803,654330.3,773472.6,297268369,69116256,228152113,합계
경상북도 안동시,2024-01,2853,60933,505366,220737,284628.9,97494960,27123860,70371100,합계
경상북도 구미시,2024-01,5778,131197,1168130,635002.1,533127.8,209500082,78924734,130575348,합계
경상북도 영주시,2024-01,8674,157491,1133521,434001.7,699519.2,262374468,60781563,201592905,합계
경상북도 영천시,2024-01,6626,103022,998688,366861.7,631826.2,180492401,43744210,136748191,합계
경상북도 상주시,2024-01,6926,95120,875715.1,268690.3,609448.6,225590250,36328793,189261457,합계
경상북도 문경시,2024-01,,,,,,,,,합계
경상북도 경산시,2024-01,3502,50834,604886,277209.2,327676.7,109608852,32323706,77285146,합계
경상북도 의성군,2024-01,1713,8375,287133,65825.1,221307.8,39087412,5546951,33540461,합계
경상북도 청송군,2024-01,995,5796,154583,50465.8,104117.1,17730589,4357339,13373250,합계
경상북도 영양군,2024-01,838,4588,144099,54641.1,89457.8,15699290,4868211,10831079,합계
경상북도 영덕군,2024-01,659,5898,99813,34097.6,65715.3,9488328,3127800,6360528,합계
경상북도 청도군,2024-01,597,3264,74129,22970.8,51158.1,11389358,2294980,9094378,합계
경상북도 고령군,2024-01,106,920,24225,9418.2,14806.7,3661178,770884,2890294,합계
경상북도 성주군,2024-01,30,258,6240,2202,4037.9,612750,181058,431692,합계
경상북도 칠곡군,2024-01,4833,73324,884293,352714.8,531578.1,151546294,36165470,115380824,합계
경상북도 예천군,2024-01,1331,11997,244844,64985,179858.9,34201831,5581668,28620163,합계
경상북도 봉화군,2024-01,328,1070,51097,10708.1,40388.8,6682065,781752,5900313,합계
경상북도 울진군,2024-01,383,4790,71257,23707,47549.9,10196058,1866656,8329402,합계
경상북도 울릉군,2024-01,330,3219,50427,10744.4,39682.5,7629278,1636846,5992432,합계
경상남도 창원시,2024-01,94285,1720483,17522434.8,8441475.4,9224156.5,3022615684,1041287970,1981327714,합계
경상남도 진주시,2024-01,10418,298514,2603424,1272216.8,1331207.1,463518022,146271078,317246944,합계
경상남도 통영시,2024-01,14146,299850,2761885.1,1146159.5,1722730.4,480179417,140615829,339563588,합계
경상남도 사천시,2024-01,10936,217667,1907794.6,767148,1620814.9,379168420,87463188,291705232,합계
경상남도 김해시,2024-01,23872,491710,4562174.3,2263195.8,2859220.1,813691870,284458596,529233274,합계
경상남도 밀양시,2024-01,7666,118919,1166749.1,435307.8,736053.1,219438257,50172247,169266010,합계
경상남도 거제시,2024-01,15534,369365,3216122,1622760.1,1593361.8,594405068,184088476,410316592,합계
경상남도 양산시,2024-01,6966,153706,1404797,655636.1,749160.8,265246000,77751342,187494658,합계
경상남도 의령군,2024-01,567,2684,71340,24555.6,46784.3,8520737,1999911,6520826,합계
경상남도 함안군,2024-01,3192,28318,517316,185447.1,331868.8,81550719,18118506,63432213,합계
경상남도 창녕군,2024-01,3087,18324,475002,119301.3,355700.6,78125243,11205155,66920088,합계
경상남도 고성군,2024-01,2571,24466,401025,129845.7,271179.2,66423652,13949179,52474473,합계
경상남도 남해군,2024-01,507,5253,89834,29314.7,60519.2,15282543,2647728,12634815,합계
경상남도 하동군,2024-01,640,2778,107755,23861.8,83893.1,10644364,2015735,8628629,합계
경상남도 산청군,2024-01,1524,12882,259235,107387.6,151847.3,23623392,9058336,14565056,합계
경상남도 함양군,2024-01,1975,12387,279493,57789,221703.9,43735111,5551356,38183755,합계
경상남도 거창군,2024-01,4003,58951,613653,201830.8,411822.1,102569176,22514141,80055035,합계
경상남도 합천군,2024-01,1829,8057,317262,77185.9,240076,37109529,7010848,30098681,합계
제주특별자치도,2024-01,103694,1762646,19270565.3,10100742.8,9654748.1,3071540852,1242660632,1828880220,합계
서울특별시,2024-02,1136499,16827451,233290211.6,142091314.8,133911867.1,37103894891,18402313452,18701581439,합계
부산광역시,2024-02,392098,6332801,67054967,36711196.5,30343770.4,12242182050,4959513208,7282668842,합계
대구광역시,2024-02,214155,3318430,34274430,17486936.9,16870245,6488352235,2420019309,4068332926,합계
인천광역시,2024-02,280581,4325311,53889297.1,30315612.5,23818597.4,9227056992,3748945357,5478111635,합계
광주광역시,2024-02,137521,2783574,25431557.6,15350171.2,10210305.7,4561959639,2053755607,2508204032,합계
대전광역시,2024-02,127155,2474506,22116776.2,12574410.6,11835337.3,4171798058,1787545880,2384252178,합계
울산광역시,2024-02,121288,2272740,22703528,11983997.5,11477400.4,3864668991,1472468017,2392200974,합계
세종특별자치시,2024-02,8062,148529,2005580,989762.3,1015817.6,285197844,101412444,183785400,합계
경기도 수원시,2024-02,86758,1522418,16247572.5,9638148,6696392.9,2912538814,1305977759,1606561055,합계
경기도 성남시,2024-02,46138,790543,9566420,5222082.9,4344337,1549027432,610006441,939020991,합계
경기도 의정부시,2024-02,27232,553946,5508852.8,2910103.6,3797727.3,978878929,388660264,590218665,합계
경기도 안양시,2024-02,41562,734847,8027202.2,4524718,3512809.9,1450254172,574158390,876095782,합계
경기도 부천시,2024-02,51179,789996,8584475.2,4537125.3,4287193.6,1612481726,640531227,971950499,합계
경기도 광명시,2024-02,19888,230414,3579688.1,1827825.4,1945911.5,624434070,220146217,404287853,합계
