지자체명,연월,영엽횟수(회),운행거리(km),영업거리(km),공차거리(km),운행시간(초),영업시간(초),공차시간(초),1대당 1일평균
서울특별시,2024-01,15,202,121,112,33587,15409,18178,1대당 1일평균
부산광역시,2024-01,15,166,86,79,30910,11479,19430,1대당 1일평균
대구광역시,2024-01,14,154,75,79,30011,10268,19743,1대당 1일평균
인천광역시,2024-01,15,186,102,85,32784,12521,20263,1대당 1일평균
광주광역시,2024-01,19,177,104,75,32544,13835,18709,1대당 1일평균
대전광역시,2024-01,19,170,94,91,32781,13253,19529,1대당 1일평균
울산광역시,2024-01,18,182,93,96,31844,11308,20536,1대당 1일평균
세종특별자치시,2024-01,18,244,119,125,35903,12288,23614,1대당 1일평균
경기도 수원시,2024-01,17,183,107,78,33545,14362,19183,1대당 1일평균
경기도 성남시,2024-01,17,204,110,94,33552,12799,20753,1대당 1일평균
경기도 의정부시,2024-01,20,197,102,141,35773,13652,22121,1대당 1일평균
경기도 안양시,2024-01,17,189,104,84,34723,13108,21615,1대당 1일평균
경기도 부천시,2024-01,15,164,85,83,31585,11893,19692,1대당 1일평균
경기도 광명시,2024-01,11,174,87,98,31283,10430,20853,1대당 1일평균
경기도 평택시,2024-01,20,191,103,131,34358,12795,21563,1대당 1일평균
경기도 동두천시,2024-01,20,165,74,91,35023,9243,25780,1대당 1일평균
경기도 안산시,2024-01,19,172,95,82,32335,12935,19400,1대당 1일평균
경기도 고양시,2024-01,14,182,108,74,32945,12513,20432,1대당 1일평균
경기도 과천시,2024-01,17,196,107,89,34155,12930,21226,1대당 1일평균
경기도 구리시,2024-01,16,195,105,90,33095,12328,20767,1대당 1일평균
경기도 남양주시,2024-01,17,199,107,92,34234,12233,22001,1대당 1일평균
경기도 오산시,2024-01,15,179,97,82,31714,12280,19434,1대당 1일평균
경기도 시흥시,2024-01,16,177,94,82,32169,11396,20774,1대당 1일평균
경기도 군포시,2024-01,15,168,89,78,31386,11338,20048,1대당 1일평균
경기도 의왕시,2024-01,14,166,93,78,30065,11187,18878,1대당 1일평균
경기도 하남시,2024-01,15,186,97,94,31946,11570,20375,1대당 1일평균
경기도 용인시,2024-01,14,203,112,101,31871,12348,19523,1대당 1일평균
경기도 파주시,2024-01,17,246,124,123,38373,12399,25974,1대당 1일평균
경기도 이천시,2024-01,18,215,103,112,37226,11424,25801,1대당 1일평균
경기도 안성시,2024-01,14,194,86,120,31622,9154,22468,1대당 1일평균
경기도 김포시,2024-01,15,213,118,121,33682,13237,20445,1대당 1일평균
경기도 화성시,2024-01,15,226,123,104,33345,13644,19702,1대당 1일평균
경기도 광주시,2024-01,15,210,110,100,33256,11876,21380,1대당 1일평균
경기도 양주시,2024-01,15,183,100,88,31093,11321,19772,1대당 1일평균
경기도 포천시,2024-01,14,200,86,157,33631,8997,24634,1대당 1일평균
경기도 여주시,2024-01,16,191,82,109,33308,8867,24442,1대당 1일평균
경기도 연천군,2024-01,16,247,106,319,30292,9300,20992,1대당 1일평균
경기도 가평군,2024-01,16,209,94,116,32047,8472,23576,1대당 1일평균
경기도 양평군,2024-01,16,202,85,117,29607,8466,21141,1대당 1일평균
강원특별자치도 춘천시,2024-01,23,153,74,84,31378,11129,20248,1대당 1일평균
강원특별자치도 원주시,2024-01,23,171,88,100,33057,11468,21589,1대당 1일평균
강원특별자치도 강릉시,2024-01,23,167,84,85,31347,11199,20148,1대당 1일평균
강원특별자치도 동해시,2024-01,19,142,65,77,31349,7703,23646,1대당 1일평균
강원특별자치도 태백시,2024-01,23,188,80,124,32913,8415,24497,1대당 1일평균
강원특별자치도 속초시,2024-01,23,155,70,85,30982,9542,21440,1대당 1일평균
강원특별자치도 삼척시,2024-01,21,141,59,83,34731,7363,27368,1대당 1일평균
강원특별자치도 홍천군,2024-01,20,185,73,112,36364,7704,28660,1대당 1일평균
강원특별자치도 횡성군,2024-01,13,192,65,126,35368,6168,29200,1대당 1일평균
강원특별자치도 영월군,2024-01,17,173,47,126,30954,5126,25828,1대당 1일평균
강원특별자치도 평창군,2024-01,14,261,107,153,28441,8434,20007,1대당 1일평균
강원특별자치도 정선군,2024-01,18,262,92,170,33989,7787,26202,1대당 1일평균
강원특별자치도 철원군,2024-01,13,183,77,107,29058,6530,22529,1대당 1일평균
강원특별자치도 화천군,2024-01,14,188,76,112,32003,6451,25552,1대당 1일평균
강원특별자치도 양구군,2024-01,13,185,81,104,24592,6305,18287,1대당 1일평균
강원특별자치도 인제군,2024-01,11,201,81,120,27391,5605,21787,1대당 1일평균
강원특별자치도 고성군,2024-01,10,208,77,131,37772,6324,31448,1대당 1일평균
강원특별자치도 양양군,2024-01,10,152,58,94,32072,4963,27109,1대당 1일평균
충청북도 청주시,2024-01,18,175,90,85,31220,12255,18964,1대당 1일평균
충청북도 충주시,2024-01,19,159,66,92,31213,8752,22461,1대당 1일평균
충청북도 제천시,2024-01,19,149,61,89,28449,8194,20254,1대당 1일평균
충청북도 보은군,2024-01,5,145,42,103,23453,4516,18937,1대당 1일평균
충청북도 옥천군,2024-01,15,140,48,91,32417,5832,26584,1대당 1일평균
충청북도 영동군,2024-01,12,151,51,99,30770,5078,25692,1대당 1일평균
충청북도 증평군,2024-01,13,165,56,110,32994,6425,26569,1대당 1일평균
충청북도 진천군,2024-01,19,243,106,137,35981,10252,25729,1대당 1일평균
충청북도 괴산군,2024-01,7,170,64,106,21147,6189,14958,1대당 1일평균
충청북도 음성군,2024-01,17,227,93,134,36847,8657,28189,1대당 1일평균
충청북도 단양군,2024-01,9,145,51,287,28309,4930,23379,1대당 1일평균
충청남도 천안시,2024-01,22,198,110,89,35496,15016,20480,1대당 1일평균
충청남도 공주시,2024-01,13,168,60,109,35511,6338,29173,1대당 1일평균
충청남도 보령시,2024-01,16,149,61,88,34789,7193,27596,1대당 1일평균
충청남도 아산시,2024-01,18,195,99,96,33593,11018,22574,1대당 1일평균
충청남도 서산시,2024-01,25,201,96,123,44043,11509,32534,1대당 1일평균
충청남도 논산시,2024-01,15,160,66,94,34415,7365,27050,1대당 1일평균
충청남도 계룡시,2024-01,19,208,91,118,35907,9709,26197,1대당 1일평균
충청남도 당진시,2024-01,18,227,87,141,35922,8874,27048,1대당 1일평균
충청남도 금산군,2024-01,9,162,39,123,38322,4299,34024,1대당 1일평균
충청남도 부여군,2024-01,8,152,43,109,38062,4241,33821,1대당 1일평균
충청남도 서천군,2024-01,9,170,56,114,25746,5180,20566,1대당 1일평균
충청남도 청양군,2024-01,5,140,36,104,29890,3232,26659,1대당 1일평균
충청남도 홍성군,2024-01,16,169,66,103,36844,7186,29658,1대당 1일평균
충청남도 예산군,2024-01,14,183,60,123,36579,6065,30514,1대당 1일평균
충청남도 태안군,2024-01,10,141,40,101,30946,4257,26688,1대당 1일평균
전북특별자치도 전주시,2024-01,20,165,83,83,31686,12384,19303,1대당 1일평균
전북특별자치도 군산시,2024-01,20,165,75,90,31169,9804,21365,1대당 1일평균
전북특별자치도 익산시,2024-01,19,172,75,96,34295,9603,24693,1대당 1일평균
전북특별자치도 정읍시,2024-01,16,151,54,114,31533,6712,24821,1대당 1일평균
전북특별자치도 남원시,2024-01,15,139,48,92,32573,5631,26942,1대당 1일평균
전북특별자치도 김제시,2024-01,10,144,41,102,25789,4553,21236,1대당 1일평균
전북특별자치도 완주군,2024-01,15,188,81,107,32495,9314,23181,1대당 1일평균
전북특별자치도 진안군,2024-01,6,167,53,114,25768,6246,19522,1대당 1일평균
전북특별자치도 무주군,2024-01,7,170,55,115,21078,4979,16099,1대당 1일평균
전북특별자치도 장수군,2024-01,3,217,39,178,21129,3675,17454,1대당 1일평균
전북특별자치도 임실군,2024-01,5,157,52,105,19406,4668,14738,1대당 1일평균
전북특별자치도 순창군,2024-01,,,,,,,,1대당 1일평균
전북특별자치도 고창군,2024-01,10,171,42,128,29972,4344,25628,1대당 1일평균
전북특별자치도 부안군,2024-01,10,162,44,118,32118,4927,27191,1대당 1일평균
전라남도 목포시,2024-01,21,168,74,95,31050,10810,20239,1대당 1일평균
전라남도 여수시,2024-01,22,184,91,93,33347,11322,22025,1대당 1일평균
전라남도 순천시,2024-01,24,201,99,101,37217,12419,24798,1대당 1일평균
전라남도 나주시,2024-01,11,218,74,144,28803,7033,21769,1대당 1일평균
전라남도 광양시,2024-01,20,184,93,91,35871,10387,25484,1대당 1일평균
전라남도 담양군,2024-01,7,148,50,98,25893,4803,21090,1대당 1일평균
전라남도 곡성군,2024-01,4,143,36,107,23693,3312,20381,1대당 1일평균
전라남도 구례군,2024-01,10,155,43,112,31827,3865,27962,1대당 1일평균
전라남도 고흥군,2024-01,6,173,40,133,24499,4598,19901,1대당 1일평균
전라남도 보성군,2024-01,8,177,55,121,19475,4719,14756,1대당 1일평균
전라남도 화순군,2024-01,15,144,58,86,35450,6506,28943,1대당 1일평균
전라남도 장흥군,2024-01,8,201,62,140,25350,5485,19865,1대당 1일평균
전라남도 강진군,2024-01,4,163,34,129,20033,2324,17709,1대당 1일평균
전라남도 해남군,2024-01,13,201,63,138,27119,5826,21293,1대당 1일평균
전라남도 영암군,2024-01,8,180,60,120,20069,5082,14987,1대당 1일평균
전라남도 무안군,2024-01,16,205,85,140,27945,8918,19027,1대당 1일평균
전라남도 함평군,2024-01,,,,,,,,1대당 1일평균
전라남도 영광군,2024-01,11,175,56,119,34551,5441,29110,1대당 1일평균
전라남도 장성군,2024-01,8,172,50,140,34205,4625,29580,1대당 1일평균
전라남도 완도군,2024-01,12,171,47,124,26911,4726,22184,1대당 1일평균
전라남도 진도군,2024-01,5,204,47,158,22802,4272,18530,1대당 1일평균
전라남도 신안군,2024-01,10,170,65,106,19407,6803,12605,1대당 1일평균
경상북도 포항시,2024-01,19,173,85,88,30423,11048,19375,1대당 1일평균
경상북도 경주시,2024-01,18,187,83,105,31432,9082,22350,1대당 1일평균
경상북도 김천시,2024-01,15,162,74,87,33628,7819,25809,1대당 1일평균
경상북도 안동시,2024-01,21,177,77,100,34173,9507,24666,1대당 1일평균
경상북도 구미시,2024-01,23,202,110,92,36258,13660,22599,1대당 1일평균
경상북도 영주시,2024-01,18,131,50,81,30248,7007,23241,1대당 1일평균
경상북도 영천시,2024-01,16,151,55,95,27240,6602,20638,1대당 1일평균
경상북도 상주시,2024-01,14,126,39,88,32572,5245,27326,1대당 1일평균
경상북도 문경시,2024-01,,,,,,,,1대당 1일평균
경상북도 경산시,2024-01,15,173,79,94,31299,9230,22069,1대당 1일평균
경상북도 의성군,2024-01,5,168,38,129,22818,3238,19580,1대당 1일평균
경상북도 청송군,2024-01,6,155,51,105,17820,4379,13440,1대당 1일평균
경상북도 영양군,2024-01,5,172,65,107,18734,5809,12925,1대당 1일평균
경상북도 영덕군,2024-01,9,151,52,100,14398,4746,9652,1대당 1일평균
경상북도 청도군,2024-01,5,124,38,86,19078,3844,15233,1대당 1일평균
경상북도 고령군,2024-01,9,229,89,140,34539,7272,27267,1대당 1일평균
경상북도 성주군,2024-01,9,208,73,135,20425,6035,14390,1대당 1일평균
경상북도 칠곡군,2024-01,15,183,73,110,31357,7483,23874,1대당 1일평균
경상북도 예천군,2024-01,9,184,49,135,25696,4194,21503,1대당 1일평균
경상북도 봉화군,2024-01,3,156,33,123,20372,2383,17989,1대당 1일평균
경상북도 울진군,2024-01,13,186,62,124,26622,4874,21748,1대당 1일평균
경상북도 울릉군,2024-01,10,153,33,120,23119,4960,18159,1대당 1일평균
경상남도 창원시,2024-01,18,186,90,98,32058,11044,21014,1대당 1일평균
경상남도 진주시,2024-01,29,250,122,128,44492,14040,30452,1대당 1일평균
경상남도 통영시,2024-01,21,195,81,122,33945,9940,24004,1대당 1일평균
경상남도 사천시,2024-01,20,174,70,148,34672,7998,26674,1대당 1일평균
경상남도 김해시,2024-01,21,191,95,120,34086,11916,22170,1대당 1일평균
경상남도 밀양시,2024-01,16,152,57,96,28625,6545,22080,1대당 1일평균
경상남도 거제시,2024-01,24,207,104,103,38265,11851,26414,1대당 1일평균
경상남도 양산시,2024-01,22,202,94,108,38077,11162,26916,1대당 1일평균
경상남도 의령군,2024-01,5,126,43,83,15028,3527,11501,1대당 1일평균
경상남도 함안군,2024-01,9,162,58,104,25548,5676,19872,1대당 1일평균
경상남도 창녕군,2024-01,6,154,39,115,25308,3630,21678,1대당 1일평균
경상남도 고성군,2024-01,10,156,51,105,25836,5426,20410,1대당 1일평균
경상남도 남해군,2024-01,10,177,58,119,30143,5222,24921,1대당 1일평균
경상남도 하동군,2024-01,4,168,37,131,16632,3150,13482,1대당 1일평균
경상남도 산청군,2024-01,8,170,70,100,15501,5944,9557,1대당 1일평균
경상남도 함양군,2024-01,6,142,29,112,22144,2811,19334,1대당 1일평균
경상남도 거창군,2024-01,15,153,50,103,25623,5624,19999,1대당 1일평균
경상남도 합천군,2024-01,4,173,42,131,20290,3833,16456,1대당 1일평균
제주특별자치도,2024-01,17,186,97,93,29621,11984,17637,1대당 1일평균
서울특별시,2024-02,15,205,125,118,32648,16192,16455,1대당 1일평균
부산광역시,2024-02,16,171,94,77,31222,12649,18574,1대당 1일평균
대구광역시,2024-02,15,160,82,79,30297,11300,18997,1대당 1일평균
인천광역시,2024-02,15,192,108,85,32886,13361,19524,1대당 1일평균
광주광역시,2024-02,20,185,112,74,33173,14934,18239,1대당 1일평균
대전광역시,2024-02,19,174,99,93,32809,14058,18751,1대당 1일평균
울산광역시,2024-02,19,187,99,95,31864,12140,19723,1대당 1일평균
세종특별자치시,2024-02,18,249,123,126,35376,12579,22797,1대당 1일평균
경기도 수원시,2024-02,18,187,111,77,33571,15053,18518,1대당 1일평균
경기도 성남시,2024-02,17,207,113,94,33574,13221,20352,1대당 1일평균
경기도 의정부시,2024-02,20,202,107,139,35946,14272,21674,1대당 1일평균
경기도 안양시,2024-02,18,193,109,85,34894,13815,21079,1대당 1일평균
경기도 부천시,2024-02,15,168,89,84,31507,12516,18991,1대당 1일평균
경기도 광명시,2024-02,12,180,92,98,31398,11069,20328,1대당 1일평균
경기도 평택시,2024-02,21,198,109,127,34581,13408,21173,1대당 1일평균
경기도 동두천시,2024-02,20,172,79,94,34860,9677,25183,1대당 1일평균
경기도 안산시,2024-02,20,177,99,83,32481,13553,18928,1대당 1일평균
경기도 고양시,2024-02,15,187,114,74,32892,13197,19695,1대당 1일평균
경기도 과천시,2024-02,17,197,107,89,33508,13079,20429,1대당 1일평균
