지자체명,연월,영엽횟수(회),운행거리(km),영업거리(km),공차거리(km),운행시간(초),영업시간(초),공차시간(초),1대당 1일평균
경기도 구리시,2024-02,16,200,109,94,33027,12789,20238,1대당 1일평균
경기도 남양주시,2024-02,18,207,114,94,34512,12924,21589,1대당 1일평균
경기도 오산시,2024-02,15,185,104,83,31671,13070,18601,1대당 1일평균
경기도 시흥시,2024-02,16,183,99,83,32308,12085,20223,1대당 1일평균
경기도 군포시,2024-02,15,174,94,80,31574,11959,19614,1대당 1일평균
경기도 의왕시,2024-02,15,173,97,76,30439,11911,18528,1대당 1일평균
경기도 하남시,2024-02,15,189,99,97,31563,11807,19756,1대당 1일평균
경기도 용인시,2024-02,15,209,117,103,32100,12986,19114,1대당 1일평균
경기도 파주시,2024-02,17,256,130,125,38207,12977,25230,1대당 1일평균
경기도 이천시,2024-02,18,217,105,114,36239,11636,24603,1대당 1일평균
경기도 안성시,2024-02,15,203,93,122,31548,9976,21572,1대당 1일평균
경기도 김포시,2024-02,16,223,127,119,34131,14232,19898,1대당 1일평균
경기도 화성시,2024-02,15,235,130,108,33391,14226,19164,1대당 1일평균
경기도 광주시,2024-02,15,216,116,101,33229,12421,20808,1대당 1일평균
경기도 양주시,2024-02,16,192,106,86,31234,11874,19360,1대당 1일평균
경기도 포천시,2024-02,15,216,94,176,33955,9582,24373,1대당 1일평균
경기도 여주시,2024-02,16,198,86,112,33580,9193,24387,1대당 1일평균
경기도 연천군,2024-02,17,270,118,292,30242,9856,20385,1대당 1일평균
경기도 가평군,2024-02,17,226,102,124,32823,9061,23762,1대당 1일평균
경기도 양평군,2024-02,16,208,88,120,29191,8521,20671,1대당 1일평균
강원특별자치도 춘천시,2024-02,25,157,80,83,31718,12023,19695,1대당 1일평균
강원특별자치도 원주시,2024-02,23,168,87,99,31796,11451,20345,1대당 1일평균
강원특별자치도 강릉시,2024-02,24,171,92,80,31051,12337,18713,1대당 1일평균
강원특별자치도 동해시,2024-02,22,151,74,76,31372,8978,22394,1대당 1일평균
강원특별자치도 태백시,2024-02,25,188,88,103,32710,9698,23012,1대당 1일평균
강원특별자치도 속초시,2024-02,25,156,75,82,31178,10524,20654,1대당 1일평균
강원특별자치도 삼척시,2024-02,24,149,67,82,34322,8495,25827,1대당 1일평균
강원특별자치도 홍천군,2024-02,22,191,80,111,36428,8274,28154,1대당 1일평균
강원특별자치도 횡성군,2024-02,13,194,65,129,34395,6029,28366,1대당 1일평균
강원특별자치도 영월군,2024-02,18,182,52,130,31627,5555,26072,1대당 1일평균
강원특별자치도 평창군,2024-02,13,255,106,150,27747,8448,19299,1대당 1일평균
강원특별자치도 정선군,2024-02,19,262,94,168,33037,8044,24993,1대당 1일평균
강원특별자치도 철원군,2024-02,13,187,79,109,28379,6586,21794,1대당 1일평균
강원특별자치도 화천군,2024-02,13,182,73,110,29955,5971,23984,1대당 1일평균
강원특별자치도 양구군,2024-02,13,189,84,105,23746,6416,17330,1대당 1일평균
강원특별자치도 인제군,2024-02,11,208,83,124,28099,5844,22255,1대당 1일평균
강원특별자치도 고성군,2024-02,10,213,81,131,37848,7047,30801,1대당 1일평균
강원특별자치도 양양군,2024-02,11,165,66,100,32977,5875,27101,1대당 1일평균
충청북도 청주시,2024-02,19,181,96,85,31570,13060,18510,1대당 1일평균
충청북도 충주시,2024-02,20,163,71,92,31183,9281,21902,1대당 1일평균
충청북도 제천시,2024-02,21,152,66,87,28222,8950,19272,1대당 1일평균
충청북도 보은군,2024-02,6,154,47,107,23148,4853,18294,1대당 1일평균
충청북도 옥천군,2024-02,15,147,52,94,32367,6285,26082,1대당 1일평균
충청북도 영동군,2024-02,12,160,54,106,30167,5435,24732,1대당 1일평균
충청북도 증평군,2024-02,13,172,58,114,33585,6708,26876,1대당 1일평균
충청북도 진천군,2024-02,19,255,109,147,36048,10351,25697,1대당 1일평균
충청북도 괴산군,2024-02,8,180,71,108,21329,6898,14430,1대당 1일평균
충청북도 음성군,2024-02,17,242,102,140,36857,9229,27627,1대당 1일평균
충청북도 단양군,2024-02,9,145,52,386,28650,4953,23696,1대당 1일평균
충청남도 천안시,2024-02,23,206,117,92,35762,15601,20161,1대당 1일평균
충청남도 공주시,2024-02,14,180,66,113,36359,7025,29334,1대당 1일평균
충청남도 보령시,2024-02,17,154,64,90,35202,7464,27738,1대당 1일평균
충청남도 아산시,2024-02,18,204,104,100,34045,11503,22542,1대당 1일평균
충청남도 서산시,2024-02,26,205,100,111,43955,12077,31878,1대당 1일평균
충청남도 논산시,2024-02,15,168,71,97,34877,7782,27096,1대당 1일평균
충청남도 계룡시,2024-02,20,210,94,115,35115,9726,25390,1대당 1일평균
충청남도 당진시,2024-02,17,229,87,142,35151,8772,26379,1대당 1일평균
충청남도 금산군,2024-02,9,185,42,143,37976,4794,33182,1대당 1일평균
충청남도 부여군,2024-02,9,138,49,89,33925,5018,28907,1대당 1일평균
충청남도 서천군,2024-02,10,170,58,112,26333,5384,20948,1대당 1일평균
충청남도 청양군,2024-02,5,145,39,106,29839,3362,26477,1대당 1일평균
충청남도 홍성군,2024-02,17,178,71,106,37203,7679,29524,1대당 1일평균
충청남도 예산군,2024-02,15,194,64,130,36749,6261,30488,1대당 1일평균
충청남도 태안군,2024-02,10,146,45,101,31049,4622,26427,1대당 1일평균
전북특별자치도 전주시,2024-02,22,170,90,84,32151,13599,18552,1대당 1일평균
전북특별자치도 군산시,2024-02,21,172,81,91,31428,10615,20813,1대당 1일평균
전북특별자치도 익산시,2024-02,21,179,83,96,34461,10497,23964,1대당 1일평균
전북특별자치도 정읍시,2024-02,17,159,58,122,31794,6961,24833,1대당 1일평균
전북특별자치도 남원시,2024-02,16,148,54,97,32822,6260,26562,1대당 1일평균
전북특별자치도 김제시,2024-02,10,153,46,106,26616,5028,21588,1대당 1일평균
전북특별자치도 완주군,2024-02,16,198,89,109,32426,10299,22127,1대당 1일평균
전북특별자치도 진안군,2024-02,7,169,56,114,25606,6065,19540,1대당 1일평균
전북특별자치도 무주군,2024-02,8,155,54,101,18745,4843,13902,1대당 1일평균
전북특별자치도 장수군,2024-02,3,227,42,185,21167,3887,17280,1대당 1일평균
전북특별자치도 임실군,2024-02,6,170,60,110,19992,5390,14601,1대당 1일평균
전북특별자치도 순창군,2024-02,,,,,,,,1대당 1일평균
전북특별자치도 고창군,2024-02,11,174,48,126,29659,4766,24893,1대당 1일평균
전북특별자치도 부안군,2024-02,12,170,53,117,34478,5145,29332,1대당 1일평균
전라남도 목포시,2024-02,22,173,78,95,31273,11428,19845,1대당 1일평균
전라남도 여수시,2024-02,24,191,100,91,33368,12427,20941,1대당 1일평균
전라남도 순천시,2024-02,26,208,106,103,37390,13368,24021,1대당 1일평균
전라남도 나주시,2024-02,12,225,79,147,28742,7364,21378,1대당 1일평균
전라남도 광양시,2024-02,21,189,97,91,35610,10849,24761,1대당 1일평균
전라남도 담양군,2024-02,8,156,55,101,26540,5347,21193,1대당 1일평균
전라남도 곡성군,2024-02,4,159,45,114,24006,4198,19808,1대당 1일평균
전라남도 구례군,2024-02,10,166,44,122,30964,4267,26697,1대당 1일평균
전라남도 고흥군,2024-02,6,188,44,144,25780,5585,20194,1대당 1일평균
전라남도 보성군,2024-02,9,188,61,127,19952,5171,14781,1대당 1일평균
전라남도 화순군,2024-02,16,150,62,87,35272,6921,28351,1대당 1일평균
전라남도 장흥군,2024-02,8,209,62,147,25383,5450,19933,1대당 1일평균
전라남도 강진군,2024-02,6,184,36,148,22847,2821,20026,1대당 1일평균
전라남도 해남군,2024-02,13,206,64,142,27305,5984,21321,1대당 1일평균
전라남도 영암군,2024-02,8,192,65,127,20744,5554,15190,1대당 1일평균
전라남도 무안군,2024-02,16,207,89,155,27540,9378,18162,1대당 1일평균
전라남도 함평군,2024-02,,,,,,,,1대당 1일평균
전라남도 영광군,2024-02,11,176,55,121,34401,5435,28966,1대당 1일평균
전라남도 장성군,2024-02,8,184,55,131,34541,4992,29549,1대당 1일평균
전라남도 완도군,2024-02,13,187,52,136,27305,5070,22234,1대당 1일평균
전라남도 진도군,2024-02,5,213,51,162,23328,4342,18986,1대당 1일평균
전라남도 신안군,2024-02,11,177,71,106,20138,7509,12629,1대당 1일평균
경상북도 포항시,2024-02,20,178,92,86,30648,12031,18617,1대당 1일평균
경상북도 경주시,2024-02,20,200,93,108,31849,10263,21585,1대당 1일평균
경상북도 김천시,2024-02,16,166,79,88,33642,8419,25223,1대당 1일평균
경상북도 안동시,2024-02,22,180,80,99,33620,9896,23724,1대당 1일평균
경상북도 구미시,2024-02,23,204,112,92,35826,13938,21888,1대당 1일평균
경상북도 영주시,2024-02,19,135,54,81,30423,7571,22851,1대당 1일평균
경상북도 영천시,2024-02,17,158,61,97,26871,7204,19667,1대당 1일평균
경상북도 상주시,2024-02,15,132,42,89,32814,5661,27153,1대당 1일평균
경상북도 문경시,2024-02,,,,,,,,1대당 1일평균
경상북도 경산시,2024-02,16,191,91,100,32878,10631,22247,1대당 1일평균
경상북도 의성군,2024-02,5,173,40,133,22768,3449,19320,1대당 1일평균
경상북도 청송군,2024-02,6,163,55,109,18984,4988,13996,1대당 1일평균
경상북도 영양군,2024-02,6,173,71,102,19598,6306,13291,1대당 1일평균
경상북도 영덕군,2024-02,6,150,41,109,13795,3941,9853,1대당 1일평균
경상북도 청도군,2024-02,6,138,47,91,19209,4817,14392,1대당 1일평균
경상북도 고령군,2024-02,9,262,99,164,35321,7794,27527,1대당 1일평균
경상북도 성주군,2024-02,10,247,85,161,22587,6658,15930,1대당 1일평균
경상북도 칠곡군,2024-02,17,201,88,113,31909,8943,22966,1대당 1일평균
경상북도 예천군,2024-02,9,193,52,142,26002,4464,21537,1대당 1일평균
경상북도 봉화군,2024-02,3,161,34,127,19921,2484,17436,1대당 1일평균
경상북도 울진군,2024-02,15,192,70,122,27972,5733,22239,1대당 1일평균
경상북도 울릉군,2024-02,7,115,26,89,20507,3492,17015,1대당 1일평균
경상남도 창원시,2024-02,19,194,96,99,32310,11816,20494,1대당 1일평균
경상남도 진주시,2024-02,31,262,135,127,44780,15632,29148,1대당 1일평균
경상남도 통영시,2024-02,24,207,92,126,34396,11270,23126,1대당 1일평균
경상남도 사천시,2024-02,22,186,78,150,34838,8863,25975,1대당 1일평균
경상남도 김해시,2024-02,22,202,103,141,34428,12856,21573,1대당 1일평균
경상남도 밀양시,2024-02,17,164,63,103,28777,7292,21484,1대당 1일평균
경상남도 거제시,2024-02,25,218,113,104,38313,12831,25481,1대당 1일평균
경상남도 양산시,2024-02,24,213,104,110,37556,12239,25318,1대당 1일평균
경상남도 의령군,2024-02,6,135,47,89,15821,3936,11885,1대당 1일평균
경상남도 함안군,2024-02,11,185,73,111,26500,7257,19243,1대당 1일평균
경상남도 창녕군,2024-02,7,165,44,121,26089,4188,21902,1대당 1일평균
경상남도 고성군,2024-02,11,172,59,113,26591,6304,20288,1대당 1일평균
경상남도 남해군,2024-02,11,182,58,124,29830,5156,24673,1대당 1일평균
경상남도 하동군,2024-02,3,191,23,168,18870,3051,15819,1대당 1일평균
경상남도 산청군,2024-02,8,180,73,107,16378,6029,10349,1대당 1일평균
경상남도 함양군,2024-02,7,157,36,121,22901,3283,19618,1대당 1일평균
경상남도 거창군,2024-02,16,164,56,107,25993,6247,19746,1대당 1일평균
경상남도 합천군,2024-02,4,183,43,140,20683,4062,16621,1대당 1일평균
제주특별자치도,2024-02,18,191,102,94,29839,12503,17337,1대당 1일평균
서울특별시,2024-03,15,209,126,17768,32652,16128,16524,1대당 1일평균
부산광역시,2024-03,16,172,92,79,31457,12502,18955,1대당 1일평균
대구광역시,2024-03,15,159,80,80,30429,11087,19342,1대당 1일평균
인천광역시,2024-03,15,195,109,87,33035,13262,19773,1대당 1일평균
광주광역시,2024-03,20,186,110,76,33462,14825,18638,1대당 1일평균
대전광역시,2024-03,20,177,100,88,33193,14143,19049,1대당 1일평균
울산광역시,2024-03,18,187,97,98,32105,11836,20269,1대당 1일평균
세종특별자치시,2024-03,19,255,126,129,35807,12912,22895,1대당 1일평균
경기도 수원시,2024-03,18,192,114,80,34007,15289,18718,1대당 1일평균
경기도 성남시,2024-03,17,211,115,96,33302,13275,20026,1대당 1일평균
경기도 의정부시,2024-03,20,206,108,146,36507,14275,22233,1대당 1일평균
경기도 안양시,2024-03,18,196,112,85,35308,14047,21260,1대당 1일평균
경기도 부천시,2024-03,15,169,88,85,31521,12242,19278,1대당 1일평균
경기도 광명시,2024-03,12,181,92,93,31408,10925,20482,1대당 1일평균
경기도 평택시,2024-03,21,200,111,136,34813,13459,21353,1대당 1일평균
경기도 동두천시,2024-03,20,169,75,94,35599,9279,26321,1대당 1일평균
경기도 안산시,2024-03,20,180,100,88,32806,13622,19184,1대당 1일평균
경기도 고양시,2024-03,15,188,113,75,33108,12925,20183,1대당 1일평균
경기도 과천시,2024-03,17,199,109,90,33956,13087,20869,1대당 1일평균
경기도 구리시,2024-03,16,201,109,93,33038,12651,20387,1대당 1일평균
경기도 남양주시,2024-03,17,209,115,96,34875,12855,22020,1대당 1일평균
경기도 오산시,2024-03,16,188,105,84,32191,13293,18897,1대당 1일평균
경기도 시흥시,2024-03,16,183,100,83,32524,12161,20363,1대당 1일평균
경기도 군포시,2024-03,15,175,94,81,32292,11929,20363,1대당 1일평균
경기도 의왕시,2024-03,15,174,99,76,30489,11852,18638,1대당 1일평균
