"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-04-23","영등포구","11293959","3394504","302218","64032"
"2022-04-24","영등포구","8926044","2487159","337626","61864"
"2022-04-25","영등포구","6749446","2537381","180177","26299"
"2022-04-26","영등포구","6913173","2832966","173515","27896"
"2022-04-27","영등포구","7201831","2875461","119280","32103"
"2022-04-28","영등포구","7271951","3014684","114004","18839"
"2022-04-29","영등포구","9144055","3481004","214026","32818"
"2022-04-30","영등포구","12152854","3813634","449057","69138"
"2022-05-01","영등포구","11316892","2902050","311611","62721"
"2022-05-02","영등포구","7057279","2609365","118641","36879"
"2022-05-03","영등포구","7406281","2887978","137620","23730"
"2022-05-04","영등포구","8246666","3362491","225406","59071"
"2022-05-05","영등포구","11005852","3125332","377505","111537"
"2022-05-06","영등포구","9592509","3153958","190579","82076"
"2022-05-07","영등포구","10760677","3352592","270011","85341"
"2022-05-08","영등포구","8560083","2503095","205374","64592"
"2022-05-09","영등포구","6441562","2529444","144608","22567"
"2022-05-10","영등포구","6854206","2813515","90173","32613"
"2022-05-11","영등포구","6831484","2886501","134082","53437"
"2022-05-12","영등포구","7342877","2973350","123258","35229"
"2022-05-13","영등포구","8461868","3425594","161966","39391"
"2022-05-14","영등포구","11602609","3981213","362658","110007"
"2022-05-15","영등포구","9209520","2668970","202857","88968"
"2022-05-16","영등포구","5082581","2672025","137289","30892"
"2022-05-17","영등포구","7179174","2940752","219191","30682"
"2022-05-18","영등포구","6941857","2890495","116689","65957"
"2022-05-19","영등포구","7005090","3066776","111956","48578"
"2022-05-20","영등포구","8707132","3381267","245977","50249"
"2022-05-21","영등포구","11221663","3584479","459338","115337"
"2022-05-22","영등포구","8844693","2655263","216809","94977"
"2022-05-23","영등포구","6613781","2595441","134499","45640"
"2022-05-24","영등포구","6872110","2910769","121989","29573"
"2022-05-25","영등포구","7295210","3045102","157903","40182"
"2022-05-26","영등포구","7358068","3113064","216844","44904"
"2022-05-27","영등포구","8477288","3439586","173969","53080"
"2022-05-28","영등포구","11354539","3545741","573794","106165"
"2022-05-29","영등포구","9115557","2610313","201060","97048"
"2022-05-30","영등포구","6946076","2735521","132115","40879"
"2022-05-31","영등포구","8713551","3532113","166553","71678"
"2022-06-01","영등포구","9551976","2716954","169906","85502"
"2022-06-02","영등포구","6591887","2674490","130655","36504"
"2022-06-03","영등포구","8837112","3240574","199706","77705"
"2022-06-04","영등포구","10846101","3178431","486923","102830"
"2022-06-05","영등포구","9650225","2661997","413524","125351"
"2022-06-06","영등포구","7932313","2222756","167890","83231"
"2022-06-07","영등포구","6130309","2411196","107945","29600"
"2022-06-08","영등포구","6610184","2764495","161504","27751"
"2022-06-09","영등포구","6622309","2726180","107016","25138"
"2022-06-10","영등포구","8037928","3261433","191619","34137"
"2022-06-11","영등포구","10625805","3680179","347055","106301"
"2022-06-12","영등포구","8325084","2636451","157582","96586"
"2022-06-13","영등포구","5580522","2571201","182232","27999"
"2022-06-14","영등포구","6717015","2785043","89785","26613"
"2022-06-15","영등포구","6832164","2790396","128355","36892"
"2022-06-16","영등포구","7037787","2967933","113320","48040"
"2022-06-17","영등포구","7633791","3288398","158231","47118"
"2022-06-18","영등포구","10568920","3795422","337361","99121"
"2022-06-19","영등포구","8556208","2811257","238027","89253"
"2022-06-20","영등포구","5837827","2623019","127470","37492"
"2022-06-21","영등포구","6737191","2840896","142804","29578"
"2022-06-22","영등포구","7011749","3025440","95741","40072"
"2022-06-23","영등포구","6273141","2781091","106822","43319"
"2022-06-24","영등포구","8402906","3468626","189835","50468"
"2022-06-25","영등포구","11268125","3763938","420383","132890"
"2022-06-26","영등포구","8156239","2603883","213968","115029"
"2022-06-27","영등포구","6467982","2560721","135534","73373"
"2022-06-28","영등포구","6880112","2865774","129463","28808"
"2022-06-29","영등포구","6583623","2842664","156429","45046"
"2022-06-30","영등포구","6878143","2826870","143001","84733"
"2022-07-01","영등포구","8930933","3472656","249477","142924"
"2022-07-02","영등포구","11486608","3564908","711219","289997"
"2022-07-03","영등포구","8987845","2525635","343592","103953"
"2022-07-04","영등포구","6520622","2555383","168747","42520"
