"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-05-03","충주시","1638368","313458","29156","5904"
"2022-05-04","충주시","1914919","394936","19192","18025"
"2022-05-05","충주시","2642042","645620","40687","70640"
"2022-05-06","충주시","2260615","519472","38595","40796"
"2022-05-07","충주시","2923005","822679","40111","46385"
"2022-05-08","충주시","2296621","614315","36388","29734"
"2022-05-09","충주시","1557283","262623","21397","6131"
"2022-05-10","충주시","1676923","291694","19040","6522"
"2022-05-11","충주시","1633091","328566","25314","5660"
"2022-05-12","충주시","1580770","285200","18842","6515"
"2022-05-13","충주시","1705284","314948","26648","8464"
"2022-05-14","충주시","2433503","581809","52465","34869"
"2022-05-15","충주시","2111924","460523","32264","31226"
"2022-05-16","충주시","1679270","283266","23273","4394"
"2022-05-17","충주시","1630534","308092","17973","6554"
"2022-05-18","충주시","1545113","298902","23889","15331"
"2022-05-19","충주시","1648377","310309","24222","10596"
"2022-05-20","충주시","1794601","325624","23264","16837"
"2022-05-21","충주시","2365467","533662","39258","59600"
"2022-05-22","충주시","2043864","455206","29524","57186"
"2022-05-23","충주시","1584787","283546","17614","11148"
"2022-05-24","충주시","1565456","328428","23939","15609"
"2022-05-25","충주시","1639425","339648","30528","12500"
"2022-05-26","충주시","1732337","325267","21388","11080"
"2022-05-27","충주시","1866567","341993","30044","10804"
"2022-05-28","충주시","2448660","568623","31135","48856"
"2022-05-29","충주시","2088643","472083","48516","47370"
"2022-05-30","충주시","1589961","280255","16008","9261"
"2022-05-31","충주시","1791217","359423","20673","11376"
"2022-06-01","충주시","2224683","510445","18039","48479"
"2022-06-02","충주시","1653931","310928","14279","11391"
"2022-06-03","충주시","1883637","325582","41909","12534"
"2022-06-04","충주시","2707148","606022","47049","51533"
"2022-06-05","충주시","2561429","633295","55671","76656"
"2022-06-06","충주시","1943102","474315","31673","38302"
"2022-06-07","충주시","1473706","272004","25469","10041"
"2022-06-08","충주시","1514078","283076","26290","10278"
"2022-06-09","충주시","1486681","280565","26794","9482"
"2022-06-10","충주시","1683379","310338","18982","10319"
"2022-06-11","충주시","2328283","550724","37047","50509"
"2022-06-12","충주시","2109519","479328","25836","43110"
"2022-06-13","충주시","1474829","267208","34694","9106"
"2022-06-14","충주시","1533562","287016","19183","9242"
"2022-06-15","충주시","1507003","274126","18628","17100"
"2022-06-16","충주시","1652951","286278","19347","10029"
"2022-06-17","충주시","2017641","360516","38279","16190"
"2022-06-18","충주시","2458198","586978","34382","51685"
"2022-06-19","충주시","2226476","477464","27836","45991"
"2022-06-20","충주시","1679865","269978","22408","8892"
"2022-06-21","충주시","1743518","280447","25080","11724"
"2022-06-22","충주시","1707390","316945","22309","11915"
"2022-06-23","충주시","1428412","275547","35162","6923"
"2022-06-24","충주시","1650342","298508","32155","13641"
"2022-06-25","충주시","2388658","615263","60941","50172"
"2022-06-26","충주시","2079151","443163","49958","38492"
"2022-06-27","충주시","1413239","218454","21257","7030"
"2022-06-28","충주시","1495068","266878","22264","8718"
"2022-06-29","충주시","1166339","229652","14873","6471"
"2022-06-30","충주시","1191918","252580","17783","7494"
"2022-07-01","충주시","1869278","291444","25871","10946"
"2022-07-02","충주시","2530516","594261","33239","53390"
"2022-07-03","충주시","2047301","464912","27962","45453"
"2022-07-04","충주시","1672928","244599","16667","4690"
"2022-07-05","충주시","1564287","263373","28620","9869"
"2022-07-06","충주시","1431584","242850","14674","10674"
"2022-07-07","충주시","1472216","261269","14025","7686"
"2022-07-08","충주시","1729026","308186","34573","13868"
"2022-07-09","충주시","2495844","594469","54572","51326"
"2022-07-10","충주시","1979587","451957","37125","51568"
"2022-07-11","충주시","1423786","219903","27625","3886"
"2022-07-12","충주시","1540466","265625","27492","8349"
"2022-07-13","충주시","1160282","245915","18647","16423"
"2022-07-14","충주시","1558083","270809","21092","7770"
"2022-07-15","충주시","1719668","297222","27225","13373"
"2022-07-16","충주시","2204834","536323","36119","40182"
"2022-07-17","충주시","1952589","430525","33753","43682"
"2022-07-18","충주시","1466301","237959","24351","3996"
"2022-07-19","충주시","1566560","256438","17271","10936"
"2022-07-20","충주시","1712246","283974","19784","14198"
"2022-07-21","충주시","1552354","281387","27377","10452"
"2022-07-22","충주시","1773749","328902","27530","14583"
"2022-07-23","충주시","2243448","536144","52985","49979"
"2022-07-24","충주시","1962894","464998","55937","43783"
"2022-07-25","충주시","1645786","281710","39180","10248"
"2022-07-26","충주시","1694065","304763","32039","23716"
"2022-07-27","충주시","1769061","306500","44284","27843"
"2022-07-28","충주시","1751200","332932","30787","28084"
"2022-07-29","충주시","2049702","390116","46005","38220"
"2022-07-30","충주시","2590755","673584","49603","71096"
"2022-07-31","충주시","2170683","573416","58014","74331"
"2022-08-01","충주시","1934928","415298","54436","45231"
"2022-08-02","충주시","1826361","386663","63077","54384"
"2022-08-03","충주시","1705084","381527","33554","41853"
"2022-08-04","충주시","1771706","389015","42278","42157"
"2022-08-05","충주시","1839997","405529","42009","40655"
"2022-08-06","충주시","2229048","576031","50426","70466"
"2022-08-07","충주시","1963694","466253","41343","62301"
"2022-08-08","충주시","1496957","261382","27257","6250"
"2022-08-09","충주시","1265092","254418","22517","17520"
"2022-08-10","충주시","1057644","243854","15141","12047"
"2022-08-11","충주시","1048216","238132","29665","12081"
"2022-08-12","충주시","1810599","311299","34646","20947"
"2022-08-13","충주시","2210397","573756","48473","52563"
"2022-08-14","충주시","2061907","585531","50048","69133"
"2022-08-15","충주시","1919890","453642","27740","55773"
"2022-08-16","충주시","1566557","268818","24466","17649"
"2022-08-17","충주시","1586870","271730","22630","18055"
"2022-08-18","충주시","1557498","266808","31894","14900"
"2022-08-19","충주시","1739392","330693","29715","17553"
"2022-08-20","충주시","2182431","503587","35308","44802"
"2022-08-21","충주시","1940638","456212","36295","53744"
"2022-08-22","충주시","1469341","259606","34336","5240"
"2022-08-23","충주시","1476438","262881","22271","13416"
"2022-08-24","충주시","1465411","277383","37436","9464"
"2022-08-25","충주시","1453996","269479","27667","8331"
"2022-08-26","충주시","1798882","327252","30075","12483"
"2022-08-27","충주시","2477733","614834","62861","45049"
"2022-08-28","충주시","2299987","613542","36598","42096"
"2022-08-29","충주시","1611836","297945","29180","7466"
"2022-08-30","충주시","1184312","270818","21984","9381"
"2022-08-31","충주시","1618359","313550","20415","6845"
"2022-09-01","충주시","1697330","290865","19396","6989"
"2022-09-02","충주시","1814295","346921","53079","8705"
"2022-09-03","충주시","2327456","545836","31831","31679"
"2022-09-04","충주시","1722032","371082","31643","21590"
"2022-09-05","충주시","1035175","200462","16915","3770"
"2022-09-06","충주시","1297713","250267","17888","4945"
"2022-09-07","충주시","1756680","328081","24741","7134"
"2022-09-08","충주시","2101406","342467","15994","15793"
"2022-09-09","충주시","2880969","608933","50543","28457"
"2022-09-10","충주시","2101892","588547","40944","44325"
"2022-09-11","충주시","2550049","687578","42927","55804"
"2022-09-12","충주시","1924397","402321","37964","40191"
"2022-09-13","충주시","1686102","286934","26871","12445"
"2022-09-14","충주시","1618800","300086","23120","9133"
"2022-09-15","충주시","1653661","291454","16754","9074"
"2022-09-16","충주시","1899002","334123","25458","9929"
"2022-09-17","충주시","2282484","503018","55003","38756"
"2022-09-18","충주시","1962822","423244","34715","37247"
"2022-09-19","충주시","1576767","285962","23785","6455"
"2022-09-20","충주시","1672860","294795","23188","10127"
"2022-09-21","충주시","1705136","318326","21506","10908"
"2022-09-22","충주시","1749641","321001","33724","9704"
"2022-09-23","충주시","1909546","323101","43119","7844"
"2022-09-24","충주시","2401222","576154","46612","47409"
"2022-09-25","충주시","2049303","486257","60951","31600"
"2022-09-26","충주시","1782398","277430","27736","5101"
"2022-09-27","충주시","1731659","298952","20771","7400"
"2022-09-28","충주시","1840060","316831","18684","7308"
"2022-09-29","충주시","1833808","326822","21063","7017"
"2022-09-30","충주시","2098406","330161","35484","7107"
"2022-10-01","충주시","2693698","624365","76268","41876"
"2022-10-02","충주시","2540244","659016","56079","59356"
"2022-10-03","충주시","1936036","420829","26278","27683"
"2022-10-04","충주시","1461729","264288","28985","10808"
"2022-10-05","충주시","1797699","312978","21789","8713"
"2022-10-06","충주시","1808554","314361","27258","7471"
"2022-10-07","충주시","2050864","328204","24796","10395"
"2022-10-08","충주시","2758019","679889","47979","40389"
"2022-10-09","충주시","2455842","641271","52197","58229"
"2022-10-10","충주시","1719399","415582","30825","23926"
"2022-10-11","충주시","1734039","290244","28814","6973"
"2022-10-12","충주시","1790575","336123","21146","7788"
"2022-10-13","충주시","1843130","311871","24874","6841"
"2022-10-14","충주시","1929447","352868","42341","7430"
"2022-10-15","충주시","2571329","610608","53840","36964"
"2022-10-16","충주시","2240806","566248","37811","33129"
"2022-10-17","충주시","1799866","294438","25307","5287"
"2022-10-18","충주시","1754584","293023","25299","7563"
"2022-10-19","충주시","1768673","306981","21950","6521"
"2022-10-20","충주시","1858700","324102","35917","9028"
