"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-05-17","서구","374737","137349","7238","1796"
"2022-05-18","서구","353783","143218","8186","22"
"2022-05-19","서구","379145","135138","11148","0"
"2022-05-20","서구","435324","172899","13607","0"
"2022-05-21","서구","507505","233490","39653","1924"
"2022-05-22","서구","373555","190600","18310","1072"
"2022-05-23","서구","473389","119952","8127","3496"
"2022-05-24","서구","514835","132877","11063","49"
"2022-05-25","서구","633357","135035","16176","10026"
"2022-05-26","서구","448078","147364","12790","541"
"2022-05-27","서구","687291","158448","18649","1944"
"2022-05-28","서구","509745","211496","26136","22"
"2022-05-29","서구","429011","193512","18617","53"
"2022-05-30","서구","421319","135048","9154","0"
"2022-05-31","서구","590806","192316","13110","873"
"2022-06-01","서구","367800","188449","19557","0"
"2022-06-02","서구","374829","136672","15808","0"
"2022-06-03","서구","419667","175757","14483","473"
"2022-06-04","서구","555943","228937","72131","256"
"2022-06-05","서구","455609","226821","32112","0"
"2022-06-06","서구","356391","157928","11989","0"
"2022-06-07","서구","308246","128414","7786","0"
"2022-06-08","서구","367889","130640","3179","168"
"2022-06-09","서구","316160","128931","9782","114"
"2022-06-10","서구","363681","148388","15253","260"
"2022-06-11","서구","452542","232787","27165","1467"
"2022-06-12","서구","361206","187697","14466","258"
"2022-06-13","서구","317043","109364","9210","0"
"2022-06-14","서구","350800","130965","5561","5386"
"2022-06-15","서구","353420","142277","10394","95"
"2022-06-16","서구","376136","139894","15774","341"
"2022-06-17","서구","395054","154488","14934","2164"
"2022-06-18","서구","475519","235868","24436","40"
"2022-06-19","서구","392954","204899","21459","0"
"2022-06-20","서구","414762","130568","9833","665"
"2022-06-21","서구","429130","140398","12037","88"
"2022-06-22","서구","518478","143789","4779","6655"
"2022-06-23","서구","603760","139079","6826","0"
"2022-06-24","서구","572903","153331","22950","43"
"2022-06-25","서구","446773","224251","21114","38"
"2022-06-26","서구","341897","179917","12474","21"
"2022-06-27","서구","540832","123117","5246","8148"
"2022-06-28","서구","566309","143580","7855","829"
"2022-06-29","서구","448073","128130","12517","658"
"2022-06-30","서구","472993","145940","13149","611"
"2022-07-01","서구","422151","157720","17953","23"
"2022-07-02","서구","509047","237382","29101","118"
"2022-07-03","서구","358742","196653","13922","0"
"2022-07-04","서구","336548","121518","7399","868"
"2022-07-05","서구","304644","125513","8568","22"
"2022-07-06","서구","377139","149770","5855","109"
"2022-07-07","서구","398690","151903","16687","0"
"2022-07-08","서구","350159","147045","10632","183"
"2022-07-09","서구","451638","214367","20937","43"
"2022-07-10","서구","371408","204636","13471","0"
"2022-07-11","서구","320597","112689","9006","481"
"2022-07-12","서구","344863","143843","11854","0"
"2022-07-13","서구","321894","132816","9013","22"
"2022-07-14","서구","326140","140775","4612","0"
"2022-07-15","서구","392841","158330","20364","723"
"2022-07-16","서구","501730","263406","34084","22"
"2022-07-17","서구","412568","185297","21026","1326"
"2022-07-18","서구","270606","95693","18915","217"
"2022-07-19","서구","341925","128311","13125","47"
"2022-07-20","서구","412218","133042","21742","0"
"2022-07-21","서구","472081","153176","12650","73"
"2022-07-22","서구","547338","151086","17626","145"
"2022-07-23","서구","487924","267759","19906","104"
"2022-07-24","서구","394597","207406","36695","0"
"2022-07-25","서구","621077","173909","21805","2247"
"2022-07-26","서구","577559","195901","22320","782"
"2022-07-27","서구","615271","170187","16236","14943"
"2022-07-28","서구","708739","198617","34902","300"
"2022-07-29","서구","601722","213361","36454","96"
"2022-07-30","서구","560020","274991","36533","160"
"2022-07-31","서구","456134","232453","27066","1297"
"2022-08-01","서구","514346","215365","30837","233"
"2022-08-02","서구","448849","207360","20413","24"
"2022-08-03","서구","453423","199883","34796","167"
"2022-08-04","서구","450934","178586","26496","71"
"2022-08-05","서구","427788","199569","20494","467"
"2022-08-06","서구","495480","265092","28212","161"
"2022-08-07","서구","357405","179027","14672","750"
"2022-08-08","서구","367261","137313","11787","0"
"2022-08-09","서구","365387","156317","14825","4040"
"2022-08-10","서구","371500","159643","21165","43"
"2022-08-11","서구","329577","142217","10426","71"
"2022-08-12","서구","428565","195793","34191","24"
"2022-08-13","서구","561678","257647","54504","10583"
"2022-08-14","서구","542421","266882","26833","128"
"2022-08-15","서구","404416","197132","29435","19"
"2022-08-16","서구","353045","130857","8471","24"
"2022-08-17","서구","351707","149069","8704","79"
"2022-08-18","서구","351095","147469","11962","135"
"2022-08-19","서구","426359","182084","16818","3189"
"2022-08-20","서구","377221","198081","22358","524"
"2022-08-21","서구","356762","188187","23316","0"
"2022-08-22","서구","419099","128875","11729","376"
"2022-08-23","서구","439447","147242","13022","214"
"2022-08-24","서구","573273","128491","10819","688"
"2022-08-25","서구","684538","158023","15325","43"
"2022-08-26","서구","583043","166427","17022","608"
"2022-08-27","서구","487564","245891","16843","43"
"2022-08-28","서구","497250","185760","15020","57"
"2022-08-29","서구","492791","129524","13775","807"
"2022-08-30","서구","495513","152115","11827","246"
"2022-08-31","서구","367944","138035","5281","415"
"2022-09-01","서구","316389","128455","4466","118"
"2022-09-02","서구","353793","142714","7741","0"
"2022-09-03","서구","342093","173862","10741","118"
"2022-09-04","서구","266103","133183","8713","0"
"2022-09-05","서구","247877","82242","2187","456"
"2022-09-06","서구","209416","94846","1197","358"
"2022-09-07","서구","360343","134486","2162","0"
"2022-09-08","서구","402007","166762","7880","792"
"2022-09-09","서구","443685","185928","24119","101"
"2022-09-10","서구","368743","168632","22316","67"
"2022-09-11","서구","442723","238340","25834","72"
"2022-09-12","서구","274131","131643","14447","153"
"2022-09-13","서구","303749","125659","10942","958"
"2022-09-14","서구","294758","132177","9743","553"
"2022-09-15","서구","324063","134532","7546","81"
"2022-09-16","서구","325750","138463","15619","143"
"2022-09-17","서구","366605","197191","19677","126"
"2022-09-18","서구","248063","139941","7022","43"
"2022-09-19","서구","277340","102664","5312","240"
"2022-09-20","서구","350972","131630","8734","379"
"2022-09-21","서구","383000","144334","4279","125"
"2022-09-22","서구","484431","164249","6889","192"
"2022-09-23","서구","485156","165397","9631","399"
"2022-09-24","서구","442330","231446","19133","9677"
"2022-09-25","서구","287066","144776","10942","0"
"2022-09-26","서구","507235","123088","8118","217"
"2022-09-27","서구","602635","152858","11570","0"
"2022-09-28","서구","518445","132136","12481","70"
"2022-09-29","서구","522746","146488","7580","116"
"2022-09-30","서구","506164","197598","19237","211"
"2022-10-01","서구","509081","227918","47105","71"
"2022-10-02","서구","488508","250695","14561","112"
"2022-10-03","서구","314291","146394","18382","102"
"2022-10-04","서구","324348","123664","10414","182"
"2022-10-05","서구","330758","148936","13699","23"
"2022-10-06","서구","307263","136010","5891","23"
"2022-10-07","서구","373692","168591","23076","2007"
"2022-10-08","서구","534477","250717","55328","163"
"2022-10-09","서구","460088","253313","24714","0"
"2022-10-10","서구","359440","175163","15286","4979"
"2022-10-11","서구","338590","133504","10700","259"
"2022-10-12","서구","361553","144307","12261","169"
"2022-10-13","서구","365667","149330","8234","262"
"2022-10-14","서구","382247","170240","14846","30"
"2022-10-15","서구","402370","203257","11173","726"
"2022-10-16","서구","364015","191409","12080","2076"
"2022-10-17","서구","346847","139307","3922","1474"
"2022-10-18","서구","341015","143122","4588","175"
"2022-10-19","서구","380793","153105","3610","152"
"2022-10-20","서구","450288","187331","18984","102"
"2022-10-21","서구","493778","194856","16589","706"
"2022-10-22","서구","520012","269425","20319","643"
"2022-10-23","서구","383053","204438","15858","378"
"2022-10-24","서구","474615","120892","4637","264"
"2022-10-25","서구","586572","142905","5380","760"
"2022-10-26","서구","476568","152664","4713","0"
"2022-10-27","서구","682067","150601","10162","457"
"2022-10-28","서구","472913","174710","8347","152"
"2022-10-29","서구","486190","230925","31787","1176"
"2022-10-30","서구","349840","173676","15724","786"
"2022-10-31","서구","521202","142903","5978","178"
"2022-11-01","서구","327538","125633","2077","0"
"2022-11-02","서구","361127","143155","4673","335"
"2022-11-03","서구","324837","137080","7244","751"
"2022-11-04","서구","403043","165188","27382","293"
"2022-11-05","서구","463380","225452","21845","0"
"2022-11-06","서구","308592","155009","5544","1107"
