"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-05-05","중구","6172865","2395697","364803","250513"
"2022-05-06","중구","5680966","1354815","410741","91855"
"2022-05-07","중구","5760120","1909119","367865","101383"
"2022-05-08","중구","4368377","1585420","304477","64442"
"2022-05-09","중구","4213679","677126","141601","14406"
"2022-05-10","중구","4257896","711756","118349","11946"
"2022-05-11","중구","4486996","729568","114046","12474"
"2022-05-12","중구","4045969","750079","145342","13665"
"2022-05-13","중구","4678231","944122","294095","24106"
"2022-05-14","중구","5904868","2095756","331187","99229"
"2022-05-15","중구","4462902","1672862","265031","94503"
"2022-05-16","중구","4208184","721725","150123","24528"
"2022-05-17","중구","4539192","757840","113066","13163"
"2022-05-18","중구","4306962","744078","133068","15356"
"2022-05-19","중구","4254426","779636","163523","18120"
"2022-05-20","중구","5100219","1008535","293412","23173"
"2022-05-21","중구","5642551","1971471","265746","109402"
"2022-05-22","중구","4405917","1650937","260499","96529"
"2022-05-23","중구","3963526","760056","136329","23212"
"2022-05-24","중구","4129108","751819","214415","14393"
"2022-05-25","중구","4490515","772051","138844","17531"
"2022-05-26","중구","4534940","823430","97099","61637"
"2022-05-27","중구","4897939","991109","177480","21149"
"2022-05-28","중구","6084337","2053696","394555","106211"
"2022-05-29","중구","4621683","1642700","389513","88663"
"2022-05-30","중구","3900890","735982","197206","15515"
"2022-05-31","중구","4362327","1016119","166211","18767"
"2022-06-01","중구","5421350","1658385","283518","92053"
"2022-06-02","중구","4613308","735149","179687","18622"
"2022-06-03","중구","4866935","892783","219422","29635"
"2022-06-04","중구","6548216","2113611","354143","113809"
"2022-06-05","중구","5811903","2392237","355041","132460"
"2022-06-06","중구","4795086","1633463","409823","86436"
"2022-06-07","중구","3612735","667172","181746","14335"
"2022-06-08","중구","3694352","712808","112549","15342"
"2022-06-09","중구","3620012","725950","125003","9122"
"2022-06-10","중구","3971375","825467","180635","9598"
"2022-06-11","중구","5479756","1889279","369351","71887"
"2022-06-12","중구","4231516","1597906","294236","64224"
"2022-06-13","중구","3625552","689359","161869","12865"
"2022-06-14","중구","3467485","704346","139664","9347"
"2022-06-15","중구","4377895","730652","145281","12207"
"2022-06-16","중구","4627388","771416","132949","15626"
"2022-06-17","중구","5003581","920238","172450","16500"
"2022-06-18","중구","6158497","1798109","278948","76867"
"2022-06-19","중구","4550543","1477778","288921","67368"
"2022-06-20","중구","4284383","762437","158910","18098"
"2022-06-21","중구","4656884","777610","143008","14502"
"2022-06-22","중구","5009884","848630","141049","12900"
"2022-06-23","중구","4175377","718150","258535","6974"
"2022-06-24","중구","4761973","956619","181492","16570"
"2022-06-25","중구","5800871","1862949","243055","79298"
"2022-06-26","중구","3981713","1439822","275392","46308"
"2022-06-27","중구","4163248","753186","162702","24966"
"2022-06-28","중구","4220306","702394","189325","6511"
"2022-06-29","중구","4221037","768231","116757","5811"
"2022-06-30","중구","3896000","744485","115571","6730"
"2022-07-01","중구","5354188","995701","212679","20440"
"2022-07-02","중구","6075205","1927797","297731","66808"
"2022-07-03","중구","4651521","1547217","305599","50525"
"2022-07-04","중구","4795360","785654","180068","13983"
"2022-07-05","중구","4619225","793526","153393","17921"
"2022-07-06","중구","4799929","777708","141723","15040"
"2022-07-07","중구","4502926","759373","169266","7801"
"2022-07-08","중구","4822719","981310","213122","19851"
"2022-07-09","중구","5778375","1957536","369695","77912"
"2022-07-10","중구","4535634","1646822","331643","58457"
"2022-07-11","중구","4519712","835472","273351","15002"
"2022-07-12","중구","4665816","852773","212629","18466"
"2022-07-13","중구","3991248","697968","146028","6211"
"2022-07-14","중구","4663442","893965","196072","13258"
"2022-07-15","중구","5021045","1074424","224164","24477"
"2022-07-16","중구","5849298","1900389","344860","66053"
"2022-07-17","중구","4526287","1646293","361977","62947"
"2022-07-18","중구","4594219","846253","201473","15390"
"2022-07-19","중구","4522775","840574","169810","14326"
"2022-07-20","중구","5152439","934020","178407","12905"
"2022-07-21","중구","4638035","971387","188840","18879"
"2022-07-22","중구","5268425","1152716","256021","17808"
"2022-07-23","중구","5803425","1936214","377928","47481"
"2022-07-24","중구","4747462","1720167","381546","65295"
"2022-07-25","중구","4832991","1033180","320545","36275"
"2022-07-26","중구","4832596","1042081","291552","25448"
"2022-07-27","중구","5306209","1133124","282308","32050"
"2022-07-28","중구","5409542","1203283","371191","32303"
"2022-07-29","중구","5795547","1327559","344692","39089"
"2022-07-30","중구","6504170","2247829","445605","74454"
"2022-07-31","중구","5077450","1774650","448095","32767"
"2022-08-01","중구","5379384","1429504","370199","45988"
"2022-08-02","중구","4487449","1188746","352787","30598"
"2022-08-03","중구","5166914","1235662","359424","46858"
"2022-08-04","중구","5335335","1238985","379761","37458"
"2022-08-05","중구","5354556","1312742","433002","66093"
"2022-08-06","중구","6014139","2100540","508104","65522"
"2022-08-07","중구","5018735","1760541","404783","56514"
"2022-08-08","중구","4040084","777843","280160","9016"
"2022-08-09","중구","3614743","664501","235352","11244"
"2022-08-10","중구","4715156","923326","218856","15861"
"2022-08-11","중구","4649668","932772","270592","20776"
"2022-08-12","중구","5597003","1172427","293456","40886"
"2022-08-13","중구","5981999","2004605","400656","56275"
