"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-04-11","수원시 팔달구","2254060","892559","33947","9043"
"2022-04-12","수원시 팔달구","2320939","897474","33842","8556"
"2022-04-13","수원시 팔달구","2150939","837463","27397","10470"
"2022-04-14","수원시 팔달구","2523435","958263","46525","41977"
"2022-04-15","수원시 팔달구","3644476","1305566","36936","22411"
"2022-04-16","수원시 팔달구","5992517","2258722","119075","40766"
"2022-04-17","수원시 팔달구","4750584","1548618","111508","64547"
"2022-04-18","수원시 팔달구","1774713","900194","49335","9020"
"2022-04-19","수원시 팔달구","2561990","994401","28574","8184"
"2022-04-20","수원시 팔달구","2840368","1017001","26431","19523"
"2022-04-21","수원시 팔달구","2743318","1124690","23659","12615"
"2022-04-22","수원시 팔달구","3319384","1351369","42805","21502"
"2022-04-23","수원시 팔달구","5663630","2314980","153707","47629"
"2022-04-24","수원시 팔달구","4554504","1843107","85341","32365"
"2022-04-25","수원시 팔달구","2567314","975154","55661","13493"
"2022-04-26","수원시 팔달구","2466066","1004782","35368","20745"
"2022-04-27","수원시 팔달구","2727874","1144821","39094","13674"
"2022-04-28","수원시 팔달구","2854736","1192514","44891","18583"
"2022-04-29","수원시 팔달구","3753648","1462803","56166","26879"
"2022-04-30","수원시 팔달구","6530399","2480327","224048","39953"
"2022-05-01","수원시 팔달구","5764498","1903568","118831","34370"
"2022-05-02","수원시 팔달구","2489630","950133","30057","16078"
"2022-05-03","수원시 팔달구","2715739","1054864","24467","20069"
"2022-05-04","수원시 팔달구","3341573","1346433","44470","39364"
"2022-05-05","수원시 팔달구","6260431","2346619","95574","87367"
"2022-05-06","수원시 팔달구","4873666","1556603","58912","61401"
"2022-05-07","수원시 팔달구","6301029","2525662","104179","55853"
"2022-05-08","수원시 팔달구","5507756","1913829","129390","55128"
"2022-05-09","수원시 팔달구","2487117","1011715","27566","19122"
"2022-05-10","수원시 팔달구","2660083","1085764","29244","26920"
"2022-05-11","수원시 팔달구","2728810","1109433","29363","19603"
"2022-05-12","수원시 팔달구","2753544","1132045","21167","18467"
"2022-05-13","수원시 팔달구","3670477","1469713","47519","32033"
"2022-05-14","수원시 팔달구","6404837","2640889","229884","71679"
"2022-05-15","수원시 팔달구","5390785","1921818","131008","68967"
"2022-05-16","수원시 팔달구","2428514","951652","41243","15323"
"2022-05-17","수원시 팔달구","2683897","1104310","37641","27946"
"2022-05-18","수원시 팔달구","2634787","1079600","32329","33496"
"2022-05-19","수원시 팔달구","2797326","1143687","50187","28157"
"2022-05-20","수원시 팔달구","4278284","1457635","35748","43389"
"2022-05-21","수원시 팔달구","5946913","2393751","148706","90485"
"2022-05-22","수원시 팔달구","4808339","1875687","160754","84421"
"2022-05-23","수원시 팔달구","2579131","985547","35582","33476"
"2022-05-24","수원시 팔달구","2582449","1028455","28680","26717"
"2022-05-25","수원시 팔달구","2821390","1108056","30048","26979"
"2022-05-26","수원시 팔달구","2811858","1098747","59203","30200"
"2022-05-27","수원시 팔달구","3487898","1356289","42616","31837"
"2022-05-28","수원시 팔달구","5692136","2465022","126116","77002"
"2022-05-29","수원시 팔달구","4812128","1959501","254738","59076"
"2022-05-30","수원시 팔달구","2411715","985450","20248","19258"
"2022-05-31","수원시 팔달구","3103968","1376667","53281","35454"
"2022-06-01","수원시 팔달구","4739626","1889484","65357","59669"
"2022-06-02","수원시 팔달구","2742147","1028108","34420","20652"
"2022-06-03","수원시 팔달구","3328383","1340521","28705","26402"
"2022-06-04","수원시 팔달구","5113866","2156906","95397","65688"
"2022-06-05","수원시 팔달구","4695335","2064495","125203","64312"
"2022-06-06","수원시 팔달구","3843623","1514343","98998","53016"
"2022-06-07","수원시 팔달구","2313744","917535","24222","17539"
"2022-06-08","수원시 팔달구","2659157","1014776","21194","17640"
"2022-06-09","수원시 팔달구","2513683","1003802","25976","20293"
"2022-06-10","수원시 팔달구","4576500","1413315","52524","24441"
"2022-06-11","수원시 팔달구","6543458","2428885","58642","62075"
"2022-06-12","수원시 팔달구","6083100","1837088","166013","58023"
"2022-06-13","수원시 팔달구","2399798","952962","33835","16908"
"2022-06-14","수원시 팔달구","2406149","955218","23902","15678"
"2022-06-15","수원시 팔달구","2556757","993298","48012","44011"
"2022-06-16","수원시 팔달구","2716810","1060017","36060","31097"
"2022-06-17","수원시 팔달구","3786826","1440906","32274","31073"
"2022-06-18","수원시 팔달구","5709060","2481179","204351","73497"
"2022-06-19","수원시 팔달구","5069779","1867193","89411","70141"
"2022-06-20","수원시 팔달구","1947701","992256","29117","28238"
"2022-06-21","수원시 팔달구","2669733","1095645","34480","41916"
"2022-06-22","수원시 팔달구","2674912","1122961","35743","26168"
"2022-06-23","수원시 팔달구","2325814","957081","22679","36762"
"2022-06-24","수원시 팔달구","3717341","1396173","42428","34324"
"2022-06-25","수원시 팔달구","6028586","2442186","234239","67921"
"2022-06-26","수원시 팔달구","4508440","1695927","75517","53018"
"2022-06-27","수원시 팔달구","2268421","944606","36038","28397"
"2022-06-28","수원시 팔달구","2404690","1030352","26515","25726"
